Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
38,David Wesley,34,NOH,SG,26,26,934,0.389,17,0.766,0.181,0.015,0.041,0.529,0.234,0.401,0.5,0,0.5,0.37,0.35,0.752,1,0,0,0.25,0.4,1,0,,wesleda01
39,David Wesley,34,HOU,SG,54,53,1840,0.404,18.9,0.528,0.127,0.02,0.042,0.339,0.472,0.422,0.667,0.3,0.333,0.349,0.383,0.784,0.911,0,0,0.438,0.398,1,0,,wesleda01
40,Damon Stoudamire,31,POR,PG,81,70,2762,0.392,17.5,0.579,0.148,0.072,0.089,0.27,0.421,0.409,0.509,0.357,0.346,0.389,0.369,0.362,0.829,0,0,0.161,0.392,1,0,,stoudda01
41,Caron Butler,24,LAL,SF,77,77,2746,0.445,10.5,0.874,0.415,0.091,0.093,0.275,0.126,0.465,0.56,0.389,0.402,0.37,0.304,0.62,0.974,0.078,69,0.528,0.348,5,0,,butleca01
42,Tony Parker,22,SAS,PG,80,80,2735,0.482,10,0.86,0.386,0.205,0.053,0.217,0.14,0.516,0.647,0.424,0.407,0.395,0.276,0.315,0.907,0.001,1,0.308,0.333,1,0,,parketo01
43,Jason Richardson,24,GSW,SG,72,72,2724,0.446,13.1,0.73,0.283,0.14,0.091,0.216,0.27,0.486,0.703,0.328,0.347,0.363,0.338,0.468,0.752,0.079,98,0.192,0.394,1,0,,richaja01
44,Rafer Alston,28,TOR,PG,80,78,2717,0.414,14.3,0.601,0.302,0.103,0.049,0.147,0.399,0.451,0.514,0.38,0.396,0.392,0.357,0.152,0.547,0,0,0.1,0.308,1,0,,alstora01
45,Jalen Rose,32,TOR,SF,81,65,2710,0.455,14,0.764,0.161,0.16,0.213,0.23,0.236,0.473,0.636,0.497,0.445,0.368,0.394,0.356,0.87,0.016,17,0.438,0.425,3,0,,roseja01
46,Rashard Lewis,25,SEA,SF,71,71,2697,0.462,14.5,0.625,0.179,0.2,0.125,0.121,0.375,0.499,0.655,0.417,0.458,0.446,0.4,0.46,0.96,0.044,50,0.306,0.485,2,0,AS,lewisra02
47,Ricky Davis,25,BOS,SG,82,11,2696,0.462,13.7,0.827,0.25,0.085,0.161,0.331,0.173,0.488,0.635,0.352,0.369,0.47,0.339,0.512,0.885,0.06,58,0.4,0.417,7,0,6MOY-2,davisri01
48,Kobe Bryant,26,LAL,SG,66,66,2689,0.433,13.9,0.708,0.272,0.113,0.124,0.199,0.292,0.472,0.606,0.427,0.36,0.384,0.339,0.247,0.664,0.045,53,0.127,0.327,6,0,ASNBA3,bryanko01
49,Jamal Crawford,24,NYK,SG,70,67,2688,0.398,17.9,0.533,0.144,0.072,0.086,0.232,0.467,0.431,0.519,0.468,0.362,0.39,0.361,0.31,0.8,0.014,14,0.268,0.431,2,0,,crawfja01
50,Rasheed Wallace,30,DET,PF,79,79,2687,0.44,12.6,0.778,0.237,0.167,0.228,0.146,0.222,0.475,0.603,0.435,0.397,0.432,0.318,0.605,0.96,0.087,85,0.186,0.159,2,0,DPOY-16,wallara01
51,Andre Iguodala,21,PHI,SG,82,82,2686,0.493,10.3,0.74,0.462,0.086,0.077,0.115,0.26,0.55,0.698,0.234,0.333,0.333,0.331,0.662,0.957,0.244,122,0.507,0.306,1,0,ROY-4DPOY-14,iguodan01
52,Udonis Haslem,24,MIA,PF,80,80,2675,0.54,8,0.994,0.49,0.056,0.206,0.242,0.006,0.543,0.662,0.278,0.424,0.465,0,0.734,,0.12,70,0,,3,0,,hasleud01
53,Ben Wallace,30,DET,C,74,74,2671,0.453,4.4,0.986,0.665,0.131,0.094,0.097,0.014,0.458,0.561,0.235,0.279,0.222,0.111,0.633,1,0.204,112,0,,1,0,DPOY-1ASNBA3,wallabe01
54,Dwight Howard,19,ORL,PF,82,82,2670,0.52,3.7,0.997,0.592,0.301,0.062,0.041,0.003,0.521,0.623,0.407,0.167,0.429,0,0.526,,0.257,162,0,,0,0,ROY-3DPOY-21,howardw01
55,Kyle Korver,23,PHI,SF,82,57,2667,0.418,21.7,0.265,0.063,0.026,0.055,0.12,0.735,0.453,0.563,0.4,0.524,0.374,0.405,0.582,0.965,0.001,1,0.256,0.476,0,0,6MOY-11,korveky01
56,Jeff McInnis,30,CLE,PG,76,69,2651,0.412,14.8,0.711,0.131,0.183,0.22,0.178,0.289,0.439,0.45,0.479,0.418,0.417,0.345,0.469,0.923,0,0,0.212,0.286,2,0,,mcinnje01
57,Bruce Bowen,33,SAS,SF,82,82,2627,0.42,16,0.577,0.161,0.105,0.095,0.216,0.423,0.432,0.625,0.286,0.281,0.426,0.403,0.785,1,0.003,2,0.881,0.413,0,0,DPOY-2,bowenbr01
58,Zydrunas Ilgauskas,29,CLE,C,78,78,2615,0.468,7.5,0.993,0.426,0.208,0.173,0.186,0.007,0.469,0.571,0.377,0.361,0.44,0.286,0.654,1,0.05,46,0,,0,0,AS,ilgauzy01
59,Carmelo Anthony,20,DEN,SF,75,75,2608,0.431,10.5,0.872,0.433,0.067,0.067,0.305,0.128,0.455,0.564,0.256,0.349,0.368,0.266,0.623,0.762,0.079,90,0.12,0.105,5,0,,anthoca01
60,Antawn Jamison,28,WAS,PF,68,68,2605,0.437,13,0.825,0.201,0.226,0.129,0.269,0.175,0.457,0.69,0.39,0.32,0.403,0.341,0.663,0.944,0.006,7,0.236,0.388,1,0,AS,jamisan01
61,Emeka Okafor,22,CHA,PF,73,73,2600,0.447,7.9,0.999,0.356,0.228,0.246,0.168,0.001,0.447,0.65,0.358,0.308,0.343,0,0.694,,0.09,86,0,,0,0,ROY-1DPOY-21,okafoem01
62,Matt Harpring,28,UTA,SF,78,55,2584,0.489,8.9,0.95,0.448,0.069,0.175,0.257,0.05,0.504,0.634,0.458,0.373,0.377,0.209,0.738,1,0.007,6,0.395,0.176,0,0,,harprma01
63,Damon Jones,28,MIA,PG,82,66,2576,0.456,21.5,0.282,0.072,0.015,0.037,0.158,0.718,0.517,0.692,0.636,0.37,0.461,0.432,0.443,0.791,0,0,0.194,0.465,0,0,,jonesda01
64,Steve Nash,30,PHO,PG,75,75,2573,0.502,14.6,0.746,0.201,0.083,0.18,0.282,0.254,0.526,0.605,0.465,0.461,0.529,0.431,0.101,0.564,0,0,0.11,0.333,0,0,MVP-1ASNBA1,nashst01
65,Luke Ridnour,23,SEA,PG,82,82,2571,0.405,14.4,0.759,0.177,0.153,0.13,0.299,0.241,0.414,0.489,0.354,0.448,0.385,0.376,0.254,0.761,0,0,0.36,0.344,0,0,,ridnolu01
66,Mike Dunleavy,24,GSW,SF,79,79,2570,0.451,14.3,0.695,0.238,0.122,0.087,0.249,0.305,0.479,0.698,0.336,0.38,0.373,0.388,0.631,0.963,0.01,9,0.293,0.37,0,0,,dunlemi02
67,Wally Szczerbiak,27,MIN,SF,81,37,2558,0.506,13.5,0.816,0.234,0.102,0.151,0.329,0.184,0.536,0.721,0.521,0.511,0.421,0.373,0.721,0.921,0.02,16,0.402,0.368,0,0,6MOY-6,szczewa02
68,Al Harrington,24,ATL,SF,66,66,2550,0.459,8.5,0.925,0.434,0.134,0.203,0.154,0.075,0.479,0.612,0.348,0.33,0.414,0.216,0.453,0.938,0.083,81,0.378,0.214,3,0,,harrial01
69,Jason Collins,26,NJN,C,80,80,2542,0.412,9.9,0.987,0.361,0.104,0.191,0.33,0.013,0.413,0.479,0.34,0.314,0.423,0.333,0.75,1,0.038,17,0,,1,0,,collija04
70,Gary Payton,36,BOS,PG,77,77,2541,0.468,9.7,0.822,0.419,0.156,0.099,0.148,0.178,0.498,0.628,0.327,0.389,0.383,0.326,0.391,0.976,0,0,0.256,0.364,0,0,,paytoga01
71,Peja Stojaković,27,SAC,SF,66,66,2534,0.444,16.8,0.574,0.2,0.041,0.082,0.251,0.426,0.475,0.675,0.381,0.349,0.373,0.402,0.653,0.862,0.011,11,0.238,0.417,2,0,,stojape01
72,Drew Gooden,23,CLE,PF,82,80,2523,0.492,7.9,0.97,0.371,0.269,0.196,0.134,0.03,0.502,0.631,0.461,0.384,0.397,0.179,0.675,1,0.087,77,0.143,0,0,0,,goodedr01
73,Shane Battier,26,MEM,SG,80,72,2516,0.442,11,0.711,0.378,0.14,0.098,0.095,0.289,0.461,0.552,0.43,0.367,0.241,0.395,0.552,0.957,0.039,21,0.548,0.412,1,0,DPOY-21,battish01
74,Morris Peterson,27,TOR,SG,82,61,2510,0.42,14.6,0.605,0.284,0.075,0.077,0.169,0.395,0.442,0.568,0.266,0.354,0.35,0.385,0.608,0.868,0.035,22,0.534,0.369,3,0,,petermo01
75,Shaquille O'Neal,32,MIA,C,73,73,2492,0.601,3.3,1,0.566,0.381,0.051,0.002,0,0.601,0.748,0.439,0.196,0,,0.53,,0.244,255,,,0,0,MVP-2DPOY-8ASNBA1,onealsh01
76,Latrell Sprewell,34,MIN,SF,80,79,2450,0.414,14.9,0.78,0.166,0.091,0.199,0.325,0.22,0.439,0.581,0.368,0.44,0.385,0.327,0.602,0.928,0.003,2,0.403,0.365,1,0,,sprewla01
77,Yao Ming,24,HOU,C,80,80,2447,0.552,6.2,1,0.379,0.341,0.229,0.051,0,0.552,0.719,0.467,0.457,0.3,,0.716,,0.148,126,,,0,0,AS,mingya01
78,Josh Howard,24,DAL,SF,76,76,2446,0.475,9.7,0.855,0.405,0.153,0.108,0.189,0.145,0.506,0.636,0.488,0.349,0.333,0.296,0.504,1,0.068,49,0.278,0.188,1,0,DPOY-18,howarjo01
79,Corey Maggette,25,LAC,SG,66,60,2436,0.431,13.6,0.83,0.281,0.077,0.095,0.376,0.17,0.457,0.567,0.355,0.447,0.399,0.304,0.655,0.863,0.03,28,0.161,0.296,3,0,,maggeco01
80,Jason Kidd,31,NJN,PG,66,65,2435,0.398,17.1,0.581,0.186,0.046,0.105,0.244,0.419,0.425,0.509,0.359,0.322,0.416,0.36,0.427,0.829,0,0,0.221,0.367,1,0,,kiddja01
81,Jason Terry,27,DAL,PG,80,57,2401,0.501,14.9,0.67,0.192,0.137,0.136,0.205,0.33,0.54,0.587,0.51,0.495,0.546,0.42,0.23,0.709,0.005,4,0.237,0.431,2,0,,terryja01
82,Cuttino Mobley,29,2TM,SG,66,64,2388,0.438,16.9,0.633,0.166,0.075,0.112,0.28,0.367,0.437,0.581,0.357,0.375,0.398,0.439,0.391,0.827,0.023,19,0.231,0.519,1,0,,moblecu01
83,Cuttino Mobley,29,ORL,SG,23,21,726,0.432,18,0.578,0.132,0.054,0.115,0.277,0.422,0.409,0.513,0.313,0.382,0.39,0.464,0.5,0.793,0.014,4,0.2,0.52,0,0,,moblecu01
84,Cuttino Mobley,29,SAC,SG,43,43,1662,0.44,15.9,0.659,0.182,0.085,0.11,0.281,0.341,0.449,0.603,0.37,0.371,0.402,0.424,0.351,0.848,0.027,15,0.249,0.519,1,0,,moblecu01
85,Josh Childress,21,ATL,SG,80,44,2376,0.47,6.6,0.913,0.621,0.073,0.053,0.165,0.087,0.493,0.589,0.255,0.324,0.292,0.232,0.547,0.923,0.134,83,0.589,0.303,4,0,,childjo01
86,Troy Murphy,24,GSW,PF,70,69,2375,0.414,12.1,0.844,0.281,0.165,0.079,0.319,0.156,0.417,0.534,0.282,0.347,0.401,0.399,0.649,0.966,0.038,34,0.176,0.423,0,0,,murphtr01
87,Chris Webber,31,2TM,PF,67,67,2370,0.433,12.2,0.966,0.206,0.193,0.121,0.447,0.034,0.436,0.61,0.433,0.329,0.386,0.341,0.648,0.867,0.055,64,0.023,1,1,0,,webbech01
88,Chris Webber,31,SAC,PF,46,46,1668,0.449,12.3,0.968,0.21,0.2,0.106,0.453,0.032,0.452,0.632,0.464,0.361,0.383,0.379,0.631,0.909,0.057,46,0,,1,0,,webbech01
