Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
12,Phil Smith,25,GSW,SG,82,82,2940,7.9,16.8,0.472,3.9,4.8,0.812,1.2,2.4,3.7,4.8,1.3,0.3,3.3,2.7,19.7,,smithph01
13,John Lucas,24,HOU,PG,82,82,2933,5.1,11.6,0.435,2.4,3.1,0.772,0.6,2.5,3.1,9.4,2,0.1,2.6,2.6,12.5,,lucasjo01
14,Adrian Dantley,22,2TM,SF,79,,2933,7.1,13.8,0.512,6.6,8.3,0.796,3.3,4.4,7.6,3.1,1.4,0.3,2.8,2.9,20.8,,dantlad01
15,Adrian Dantley,22,IND,SF,23,,948,7.6,15.3,0.499,7.9,10,0.787,3.6,4.6,8.2,2.5,1.8,0.6,2.5,2.9,23.1,,dantlad01
16,Adrian Dantley,22,LAL,SF,56,,1985,6.8,13.1,0.52,6.1,7.6,0.801,3.1,4.2,7.3,3.4,1.3,0.1,2.9,2.8,19.7,,dantlad01
17,Marvin Webster,25,SEA,C,82,,2910,5.3,10.5,0.502,3.6,5.7,0.629,4.5,8.3,12.8,2.5,0.6,2,3.2,3.2,14.2,MVP-10,webstma01
18,Jim Chones,28,CLE,C,82,82,2906,6.5,13.8,0.472,2.2,3.1,0.72,2.7,7.7,10.5,1.6,0.6,0.7,2.3,2.9,15.2,,choneji01
19,Calvin Murphy,29,HOU,SG,76,,2900,10.6,21.6,0.491,3,3.3,0.918,0.7,1.3,2,3.2,1.4,0,2.1,3,24.2,,murphca01
20,Wilbur Holland,26,CHI,SG,82,81,2884,7.1,16,0.443,2.8,3.5,0.799,1.3,2.4,3.7,3.9,2,0.2,2.8,3.2,17,,hollawi01
21,Mickey Johnson,25,CHI,PF,81,81,2870,7,15.2,0.462,4.5,5.6,0.812,2.7,6.5,9.3,3.3,1.2,0.9,3.4,4,18.6,,johnsmi01
22,Larry Kenon,25,SAS,SF,81,,2869,8.8,17.9,0.489,3.5,4.1,0.854,3.1,6.6,9.7,3.4,1.4,0.3,3.5,2.6,21,AS,kenonla01
23,George Gervin,25,SAS,SG,82,82,2857,10.9,20.3,0.536,6.4,7.6,0.83,1.5,3.8,5.3,3.8,1.7,1.4,3.9,3.2,28.1,MVP-2ASNBA1,gervige01
24,Dan Issel,29,DEN,C,82,,2851,8.3,16.3,0.512,5.4,6.9,0.782,3.2,7.3,10.5,3.8,1.3,0.5,3.3,3.5,22,,isselda01
25,Kevin Porter,27,2TM,PG,82,,2813,6.3,13.5,0.469,3.1,4.1,0.763,0.7,2.1,2.7,10.7,1.6,0.2,4.6,3.6,15.8,,porteke01
26,Kevin Porter,27,DET,PG,8,,127,4,8.8,0.452,2.6,3.7,0.692,1.4,2.8,4.3,10.2,1.4,0,3.4,5.1,10.5,,porteke01
27,Kevin Porter,27,NJN,PG,74,,2686,6.4,13.7,0.47,3.1,4.1,0.765,0.6,2,2.7,10.7,1.6,0.2,4.7,3.6,16,,porteke01
28,John Havlicek,37,BOS,SF,82,,2797,7,15.7,0.449,3,3.5,0.855,1.2,3.1,4.3,4.2,1.2,0.3,2.6,2.4,17,AS,havlijo01
29,Bob Wilkerson,23,DEN,SF,81,,2780,4.9,12.1,0.408,2,2.7,0.748,1.3,4.9,6.1,5.7,1.6,0.3,3.8,3.6,11.9,,wilkebo01
30,Norm Nixon,22,LAL,PG,81,,2779,6.4,12.9,0.497,1.5,2.1,0.714,0.5,2.6,3.1,7.2,1.8,0.1,3.3,3.4,14.3,ROY-5,nixonno01
31,Swen Nater,28,BUF,C,78,,2778,6.5,12.9,0.504,2.7,3.5,0.765,3.6,9.7,13.3,2.8,0.5,0.6,2.9,3.6,15.7,,natersw01
32,Bob Dandridge,30,WSB,SF,75,,2777,7.3,15.4,0.471,4.3,5.4,0.788,1.8,4,5.7,3.7,1.3,0.6,3.1,3.4,18.8,,dandrbo01
33,Mike Bantom,26,IND,SF,82,,2775,6.5,13.6,0.479,3.3,4.4,0.743,2.4,5.5,7.9,3.1,1.3,0.6,2.8,4.3,16.3,,bantomi01
34,Doug Collins,26,PHI,SG,79,77,2770,8.4,15.9,0.526,3.5,4.3,0.812,1.1,1.9,3,4.2,1.7,0.3,3.2,3,20.2,AS,collido01
35,Marques Johnson,21,MIL,SF,80,,2765,8.2,15.7,0.522,3.9,5.3,0.736,3.8,7.2,11,2.5,1.2,1.3,2.3,2.9,20.3,MVP-10ROY-2,johnsma01
36,John Shumate,25,2TM,PF,80,,2760,5.1,10.1,0.506,5.2,6.6,0.787,2,6.8,8.9,2.3,1.2,0.7,3,2.6,15.4,,shumajo01
37,John Shumate,25,BUF,PF,18,,590,4.6,9.2,0.497,4.5,6,0.747,2,5.9,7.8,3.5,0.9,0.5,2.8,3.5,13.7,,shumajo01
38,John Shumate,25,DET,PF,62,,2170,5.2,10.3,0.508,5.4,6.8,0.797,2.1,7.1,9.2,2,1.3,0.7,3.1,2.4,15.9,,shumajo01
39,Brian Winters,25,MIL,SG,80,,2751,8.8,19.1,0.463,3.2,3.8,0.84,1.1,2.1,3.3,5.1,1.6,0.4,3.1,3.1,20.9,AS,wintebr01
40,Lionel Hollins,24,POR,PG,81,,2741,7,15.8,0.442,2.9,3.9,0.743,1.1,2.6,3.6,5,2.1,0.4,3.2,3.5,16.9,AS,hollili01
41,John Williamson,26,2TM,SG,75,,2731,9.5,21.7,0.438,4.4,5.2,0.847,0.9,2.1,3,2.8,1.2,0.1,3,3.1,23.4,,willijo01
42,John Williamson,26,IND,SG,42,,1449,8.3,19.8,0.421,3.3,4,0.832,0.8,2.1,3,3.3,1.2,0,3.2,3.3,20,,willijo01
43,John Williamson,26,NJN,SG,33,,1282,10.9,24,0.454,5.5,6.5,0.857,0.9,2.1,3,2.3,1.3,0.3,2.8,2.9,27.3,,willijo01
44,Ron Boone,31,KCK,SG,82,,2653,7.6,17.2,0.443,4.4,5.1,0.854,1.5,2.1,3.7,4.2,1.4,0.1,4.1,3.2,19.6,,boonero01
45,Wes Unseld,31,WSB,C,80,,2644,3.5,6.7,0.523,1.3,2.4,0.538,3.9,9.1,13,4.4,1.3,0.6,2.4,3.2,8.3,,unselwe01
46,Walter Davis,23,PHO,SF,81,,2590,10.9,20.8,0.526,5.4,6.5,0.83,2.2,4.5,6.7,3.8,1.6,0.3,3.9,3.4,27.2,MVP-5ROY-1ASNBA2,daviswa03
47,Chris Ford,29,DET,SG,82,,2582,5.2,10.8,0.481,1.6,2.1,0.734,1.6,2.1,3.7,5.3,2.3,0.2,3.2,2.5,12,,fordch01
48,Gus Williams,24,SEA,PG,79,,2572,8.4,18.7,0.451,3.2,3.9,0.817,1.2,2.4,3.6,4.1,2.6,0.6,2.6,2.8,20,,willigu01
49,Eric Money,22,DET,PG,76,,2557,8.4,16.9,0.5,3,4.2,0.718,1.3,1.7,2.9,5,1.7,0.2,4.5,3.3,19.9,,moneyer01
50,M.L. Carr,27,DET,SF,79,,2556,5.5,12.1,0.455,2.8,3.8,0.738,2.8,5,7.8,2.6,2.1,0.4,3,3.4,13.8,,carrml01
