Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards,Player-additional
12,Sam Lacey,25,KCO,C,79,,3107,5.4,11.4,0.476,2.1,2.9,0.749,3.4,8.8,12.2,3.5,1.5,2.1,2.9,13,,laceysa01
13,Austin Carr,25,CLE,SG,81,,3100,8.7,19.5,0.445,3.2,3.8,0.856,1.6,1.7,3.4,3.5,1.1,0.2,2.2,20.6,AS,carrau01
14,John Havlicek,33,BOS,SF,76,,3091,8,17.5,0.456,4,4.8,0.832,1.6,4.1,5.7,5.2,1.1,0.4,2.3,20,MVP-9ASNBA1,havlijo01
15,Gail Goodrich,30,LAL,SG,82,,3061,9.2,20.9,0.442,6,6.9,0.864,1.1,1.8,2.9,5,1.5,0.1,2.7,24.4,ASNBA1,goodrga01
16,Bob Lanier,25,DET,C,81,,3047,8.8,17.5,0.504,3.9,4.8,0.797,3.2,9.5,12.7,4.1,1.3,2.9,3.2,21.5,MVP-3AS,laniebo01
17,Fred Carter,28,PHI,SG,78,78,3044,8.3,19.4,0.43,3,4.2,0.709,1,3.4,4.4,5.2,1.3,0.3,3.3,19.7,,cartefr01
18,Tom Van Arsdale,30,PHI,SF,78,78,3041,7.3,17,0.428,3.5,4.1,0.851,1,3.6,4.7,2.4,0.7,0,3.6,18.1,,vanarto01
19,Spencer Haywood,24,SEA,PF,75,,3039,8.2,18,0.457,4.4,5.4,0.814,3.8,8.2,11.9,2.8,0.8,1.3,2.3,20.9,MVP-17ASNBA2,haywosp01
20,Steve Mix,26,PHI,PF,82,82,2969,6,12.6,0.475,2.8,3.5,0.792,3.7,6.8,10.5,1.8,2.6,0.4,3.7,14.8,,mixst01
21,Jimmy Walker,29,2TM,SG,75,,2958,7.1,15.1,0.469,3.3,4.1,0.82,0.5,2,2.5,3.7,1,0.1,2.1,17.5,,walkeji01
22,Jimmy Walker,29,HOU,SG,3,,38,6.6,11.4,0.583,0,0.9,0,0,1.9,1.9,3.8,0,0,3.8,13.3,,walkeji01
23,Jimmy Walker,29,KCO,SG,72,,2920,7.1,15.1,0.468,3.4,4.1,0.822,0.5,2,2.5,3.7,1,0.1,2,17.5,,walkeji01
24,Phil Chenier,23,CAP,SG,76,,2942,8.5,19.7,0.434,3.4,4.1,0.82,1.4,3.4,4.7,2.9,1.9,0.8,1.7,20.4,MVP-11AS,cheniph01
25,Calvin Murphy,25,HOU,PG,81,,2922,8.3,15.8,0.522,3.8,4.4,0.868,0.6,1.7,2.3,7.4,1.9,0,3.8,20.4,,murphca01
26,Elmore Smith,24,LAL,C,81,,2922,5.3,11.7,0.457,1.8,3.1,0.59,2.5,8.6,11.2,1.8,0.9,4.8,3.8,12.5,,smithel01
27,Rick Barry,29,GSW,SF,80,,2918,9.8,21.5,0.456,5.1,5.7,0.899,1.3,5.4,6.7,6,2.1,0.5,3.3,24.8,MVP-7ASNBA1,barryri01
28,Ernie DiGregorio,23,BUF,PG,81,,2910,6.6,15.6,0.421,2.2,2.4,0.902,0.6,2.1,2.7,8.2,0.7,0.1,3,15.3,ROY-1,digreer01
29,Pete Maravich,26,ATL,SG,76,,2903,10.2,22.2,0.457,5.8,7,0.826,1.2,3.4,4.6,4.9,1.4,0.2,3.2,26.1,MVP-17AS,maravpe01
30,Gar Heard,25,BUF,PF,81,,2889,6.5,15,0.435,2.4,3.7,0.65,3.4,8.4,11.8,2.2,1.7,2.9,3.7,15.4,,heardga01
31,Norm Van Lier,26,CHI,PG,80,78,2863,5.4,13.2,0.406,3.6,4.7,0.778,1.4,3.3,4.7,6.9,2,0.1,3.5,14.4,MVP-9ASNBA2,vanlino01
32,Jerry Sloan,31,CHI,SG,77,77,2860,5.2,11.6,0.447,2.4,3.4,0.711,1.9,5.1,7,1.9,2.3,0.1,3.4,12.8,,sloanje01
33,Sidney Wicks,24,POR,PF,75,,2853,8.6,18.8,0.459,4,5.2,0.762,2.5,6.2,8.6,4.1,1.1,0.8,2.7,21.2,AS,wickssi01
34,Dick Van Arsdale,30,PHO,SG,78,,2832,6.5,13.1,0.5,4.6,5.4,0.853,0.8,2,2.8,4.1,1.2,0.2,3.1,17.7,,vanardi01
35,Leroy Ellis,33,PHI,C,81,81,2831,4.1,9.2,0.452,1.9,2.5,0.75,3.7,7.6,11.3,2.4,1.1,1.1,2.8,10.2,,ellisle01
36,Bill Bradley,30,NYK,SF,82,82,2813,6.4,14.2,0.451,1.9,2.1,0.874,0.8,2.5,3.2,3.1,0.5,0.3,3.6,14.7,,bradlbi01
37,Geoff Petrie,25,POR,PG,73,,2800,9.5,19.8,0.481,3.7,4.4,0.853,0.8,1.9,2.7,4.1,1.1,0.2,2.6,22.8,AS,petrige01
38,Connie Hawkins,31,2TM,SF,79,,2761,5.3,10.5,0.501,2.5,3.3,0.761,2.3,5.1,7.4,5.3,1.5,1.1,2.9,13,,hawkico01
39,Connie Hawkins,31,PHO,SF,8,,223,5.8,11.9,0.486,2.9,4.4,0.667,2.3,4.7,6.9,4.5,1.3,0.5,3.2,14.5,,hawkico01
40,Connie Hawkins,31,LAL,SF,71,,2538,5.2,10.4,0.502,2.5,3.2,0.772,2.3,5.1,7.4,5.4,1.5,1.1,2.9,12.9,,hawkico01
41,Randy Smith,25,BUF,SG,82,,2745,7,14.2,0.492,2.7,3.8,0.712,1.1,3,4.1,5,2.7,0.1,3.4,16.6,,smithra01
42,Dave DeBusschere,33,NYK,PF,71,71,2699,7.5,16.2,0.461,2.2,2.9,0.756,1.8,8.3,10.1,3.4,0.9,0.5,3,17.1,MVP-11AS,debusda01
43,Dick Snyder,29,SEA,SG,74,,2670,7.7,16,0.481,2.6,3,0.866,1.2,2.9,4.1,3.6,1.2,0.4,3.5,18,,snydedi01
44,Chet Walker,33,CHI,SF,82,82,2661,7.7,15.9,0.486,5.9,6.8,0.875,1.8,3.7,5.5,2.7,0.9,0.1,2.7,21.4,AS,walkech01
45,Larry Steele,24,POR,SG,81,,2648,4.4,9.2,0.478,1.8,2.3,0.789,1.2,3,4.2,4.4,3,0.4,4,10.7,,steella01
46,Happy Hairston,31,LAL,PF,77,,2634,5.3,10.4,0.507,4.7,6.1,0.771,4.6,9.6,14.2,2.8,0.9,0.2,3.6,15.2,,hairsha01
47,Clifford Ray,25,CHI,C,80,72,2632,4.3,8.4,0.511,1.7,2.7,0.608,3.9,9.5,13.4,3.4,0.8,2.4,3.8,10.2,MVP-11,raycl01
48,Jim Price,24,LAL,PG,82,,2628,7.4,16.4,0.449,2.6,3.2,0.799,1.6,3.5,5.2,5.1,2.2,0.4,3.1,17.3,,priceji01
49,Bingo Smith,27,CLE,SF,82,,2612,7.4,16.2,0.455,1.9,2.3,0.822,1.8,4.1,6,2.7,1.2,0.4,3.3,16.7,,smithbi02
50,Paul Silas,30,BOS,PF,82,,2599,4.7,10.7,0.44,3.7,4.7,0.783,4.6,8,12.7,2.6,0.9,0.3,3.4,13.1,,silaspa01
51,Mike Newlin,25,HOU,SG,76,,2591,7.1,15.8,0.448,5.3,6.2,0.856,1.1,2.6,3.6,5,1.2,0.1,3.6,19.5,,newlimi01
52,Lou Hudson,29,ATL,SF,65,,2588,9.4,18.9,0.5,4.1,4.9,0.836,1.8,3.1,4.9,3,2.2,0.4,2.9,23,AS,hudsolo01
53,Cazzie Russell,29,GSW,SF,82,,2574,10.3,21.4,0.482,2.9,3.5,0.835,2,3,4.9,2.7,0.8,0.2,2.7,23.6,,russeca01
54,Neal Walk,25,PHO,C,82,,2549,8.1,17.6,0.46,3.3,4.2,0.791,3.3,8.5,11.8,4.7,1,0.8,3.6,19.5,,walkne01
55,Bob Dandridge,26,MIL,SF,71,,2521,8.3,16.5,0.503,2.5,3.1,0.818,1.7,5.2,6.8,2.9,1.6,0.6,3.9,19.1,,dandrbo01
56,Jim Washington,30,ATL,PF,73,,2519,4.2,8.7,0.485,1.9,2.8,0.684,3,7.5,10.5,2.2,0.7,1.1,3.6,10.4,,washiji01
57,Nate Williams,23,KCO,SF,82,,2513,7.7,16.7,0.462,2.8,3.4,0.818,1.7,3.2,4.9,2.6,2.1,0.5,4.2,18.2,,willina01
58,Fred Brown,25,SEA,SG,82,,2501,8.3,17.6,0.471,2.8,3.3,0.863,1.6,4.1,5.8,6,2,0.3,4,19.4,,brownfr01
59,Curtis Rowe,24,DET,PF,82,,2499,5.5,11.1,0.494,1.7,2.4,0.698,2.4,5,7.4,2,0.7,0.5,2.5,12.6,,rowecu01
60,Jeff Mullins,31,GSW,SG,77,,2498,7.8,16.5,0.473,2.4,2.8,0.875,1.2,2.7,4,4.4,1,0.3,3.1,18,,mullije01
61,Lenny Wilkens,36,CLE,PG,74,,2483,6.7,14.4,0.465,4.2,5.2,0.801,1.2,2.9,4,7.6,1.4,0.2,2.4,17.6,,wilkele01
62,Dwight Davis,24,CLE,PF,76,,2477,5.5,12.5,0.436,2.9,4,0.719,2.5,6.8,9.4,2.7,0.9,1.1,4.2,13.8,,davisdw01
63,Oscar Robertson,35,MIL,PG,70,,2477,4.9,11.2,0.438,3.1,3.7,0.835,1,3,4.1,6.5,1.1,0.1,1.9,12.9,,roberos01
64,Nate Thurmond,32,GSW,C,62,,2463,4.5,10.1,0.444,2.8,4.2,0.666,3.6,9.2,12.8,2.4,0.6,2.6,2.6,11.8,MVP-8AS,thurmna01
65,Zaid Abdul-Aziz,27,HOU,C,79,,2459,4.9,10.7,0.459,2.8,3.5,0.804,3.8,9.7,13.5,2.4,1.2,1.5,3.3,12.7,,abdulza01
66,Walt Bellamy,34,ATL,C,77,,2440,5.7,11.8,0.486,3.4,5.7,0.608,3.9,7,10.9,2.8,0.8,0.7,3.4,14.9,,bellawa01
67,Lucius Allen,26,MIL,PG,72,,2388,7.9,16,0.495,3.3,4.1,0.788,1.3,3,4.4,5.6,2.1,0.3,3.2,19.1,MVP-15,allenlu01
68,Curtis Perry,25,MIL,PF,81,,2386,4.9,11,0.446,1.2,2,0.582,3.7,7,10.6,2.8,1.6,1.5,4.5,11,,perrycu01
69,Kevin Porter,23,CAP,PG,81,,2339,7.3,15.3,0.478,2.8,3.8,0.723,1.2,1.5,2.8,7.2,1.5,0.1,4.9,17.5,,porteke01
70,Don Adams,26,DET,SF,74,,2298,4.7,11.6,0.408,2.4,3.1,0.761,2.1,4.9,7,2.2,1.7,0.2,3.8,11.9,,adamsdo01
71,John Johnson,26,POR,SF,69,,2287,7.2,15.6,0.464,3.3,4.1,0.812,2.5,5.6,8.1,4.5,1.1,0.5,3.5,17.8,,johnsjo01
72,Don Chaney,27,BOS,SG,81,,2258,5.5,12,0.464,2.4,2.9,0.828,3.3,2.7,6,2.8,1.3,1,3.9,13.5,,chanedo01
73,Corky Calhoun,23,PHO,SF,77,,2207,4.4,9.5,0.461,1.6,2.1,0.76,1.9,4.8,6.6,2.2,1.2,0.5,4.1,10.3,,calhoco01
74,Jim Fox,30,SEA,C,78,,2179,5.3,11.1,0.478,4,4.8,0.823,4,7.8,11.8,3.8,0.9,0.3,4.1,14.6,,foxji01
75,Butch Beard,26,GSW,PG,79,,2134,5.3,10.4,0.512,2.9,3.9,0.739,2.3,4.3,6.6,5.1,1.8,0.2,4.1,13.6,,beardbu01
76,Don Kojis,35,KCO,SF,77,,2091,6.9,14.4,0.478,3.6,4.7,0.772,2.2,4.4,6.6,1.9,1.3,0.3,2.7,17.4,,kojisdo01
77,Dean Meminger,25,NYK,SG,78,50,2079,4.7,9.3,0.508,1.8,2.8,0.644,2.2,2.7,4.9,2.8,1.1,0.1,2.8,11.3,,meminde01
78,Rick Roberson,26,POR,C,69,,2060,6.4,13.9,0.457,3.6,5.5,0.649,4.4,7.9,12.3,2.3,1.1,1,4.4,16.3,,roberri01
79,Chris Ford,25,DET,SG,82,,2059,4.6,10.4,0.444,1,1.3,0.74,1.9,3.4,5.3,4.9,2.6,0.2,2.8,10.2,,fordch01
80,Ron Behagen,23,KCO,PF,80,,2059,6.2,14.5,0.432,2.8,3.7,0.764,3.3,6.6,9.9,2.3,1,0.6,5.1,15.3,ROY-2,behagro01
81,Kenny McIntosh,25,SEA,SF,69,,2056,3.9,10,0.389,1.1,1.9,0.607,1.9,4.4,6.3,1.6,0.9,0.5,3.1,8.9,,mcintke01
82,Phil Jackson,28,NYK,PF,82,21,2050,6.3,13.3,0.477,3.4,4.3,0.776,2.2,6.2,8.4,2.4,0.7,1.2,4.9,16,,jacksph01
83,Keith Erickson,29,PHO,SF,66,,2033,7,14.6,0.477,3.1,3.9,0.801,1.7,5.7,7.3,3.6,1.1,0.4,3.4,17.1,,erickke01
84,Herm Gilliam,27,ATL,PG,62,,2003,6.9,15.2,0.454,1.9,2.4,0.791,1.1,3.7,4.8,6.4,2.4,0.3,3.4,15.7,,gillihe01
85,Charlie Scott,25,PHO,PG,52,,2003,9.7,21,0.459,4.4,5.7,0.781,1.2,2.8,4,4.9,1.8,0.4,3.5,23.8,AS,scottch01
86,Mike Bantom,22,PHO,PF,76,,1982,5.7,14.3,0.399,2.6,3.9,0.662,3.1,6.3,9.4,3,0.9,0.9,5.2,14,,bantomi01
87,Jon McGlocklin,30,MIL,SG,79,,1910,6.2,13.1,0.475,1.4,1.5,0.9,0.6,2,2.6,4.5,0.8,0.1,2.4,13.8,,mcglojo01
88,Steve Patterson,25,CLE,C,76,,1910,4.9,11.3,0.437,1.3,2.1,0.616,4.2,7.5,11.7,3.1,0.9,1.1,3.6,11.2,,pattest01
89,Larry Jones,31,PHI,PG,72,60,1876,5,11.9,0.423,3.8,4.5,0.838,1.4,2.2,3.5,4.4,1.6,0.3,2.2,13.9,,jonesla01
90,Matt Guokas,29,3TM,SG,75,,1871,3.8,7.6,0.492,0.8,1.2,0.65,0.6,1.7,2.3,4.6,1,0.4,2.9,8.3,,guokama02
91,Matt Guokas,29,KCO,SG,9,,315,4.7,9.5,0.494,0.9,1.4,0.667,0.2,2.2,2.4,4.1,0.9,0.1,2.4,10.3,,guokama02
92,Matt Guokas,29,HOU,SG,39,,1007,3.3,7.3,0.458,0.8,1,0.75,0.6,1.5,2.1,4.8,1,0.5,2.6,7.4,,guokama02
93,Matt Guokas,29,BUF,SG,27,,549,4,7.2,0.555,0.7,1.3,0.5,0.8,1.8,2.6,4.5,1.2,0.4,3.7,8.7,,guokama02
94,Jim Brewer,22,CLE,PF,82,,1862,4.1,10.6,0.383,1.5,2.4,0.65,4,6.1,10.1,2.9,0.9,0.7,3.7,9.7,,breweji01
95,Clem Haskins,30,PHO,SG,81,,1822,7.2,15.6,0.46,3.4,4,0.842,1.5,2.8,4.4,5.1,1.6,0.3,3.3,17.8,,haskicl01
96,Freddie Boyd,23,PHI,PG,75,26,1818,5.7,14.1,0.402,2.8,3.9,0.723,0.3,1.5,1.8,4.9,1.2,0.2,3.4,14.1,,boydfr01
97,Bill Bridges,34,LAL,PF,65,,1812,4.3,10.2,0.421,2.3,3.3,0.707,3.8,6.1,9.9,2.9,1.2,0.6,4.4,10.9,,bridgbi01
98,Archie Clark,32,CAP,PG,56,,1786,6.3,13.6,0.467,2.1,2.6,0.786,0.9,2,2.8,5.7,1.2,0.1,2.5,14.8,,clarkar01
99,Jack Marin,29,2TM,SF,74,,1782,7.2,14.3,0.501,3.1,3.6,0.855,1.2,3.4,4.6,3.4,0.9,0.5,4.3,17.4,,marinja01
100,Jack Marin,29,HOU,SF,47,,1102,6.9,14.5,0.474,2.7,3.2,0.837,0.9,2.5,3.5,4,0.8,0.3,3.9,16.4,,marinja01
101,Jack Marin,29,BUF,SF,27,,680,7.7,14.1,0.545,3.8,4.3,0.877,1.6,4.9,6.5,2.4,1.2,1,4.9,19.1,,marinja01
102,John Block,29,KCO,PF,82,,1777,5.6,12.8,0.434,3.3,4.2,0.796,2.6,5.3,7.9,1.9,1.4,0.7,4.6,14.5,,blockjo01
103,Ed Ratleff,23,HOU,SF,81,,1773,5.2,11.9,0.434,2.1,2.6,0.798,1.9,3.9,5.8,3.7,1.8,0.5,3.7,12.4,,ratleed01
104,Cliff Meely,26,HOU,PF,77,,1754,6.8,15.9,0.427,1.8,2.9,0.643,2.1,6.9,9,2.5,1.1,1.6,4.8,15.4,,meelycl01
105,Don Nelson,33,BOS,SF,82,,1748,7.5,14.8,0.508,4.4,5.6,0.788,1.9,5.3,7.1,3.3,0.4,0.3,3.9,19.4,,nelsodo01
106,Wes Unseld,27,CAP,C,56,,1727,3,6.9,0.438,0.8,1.1,0.655,3.2,7.6,10.8,3.3,1.2,0.3,2.5,6.8,,unselwe01
107,Ollie Johnson,24,POR,SF,79,,1718,4.4,9.1,0.482,1.6,2,0.819,2.4,4.4,6.8,3.5,1.3,0.6,3.8,10.4,,johnsol01
108,John Brown,22,ATL,SF,77,,1715,5.8,13.3,0.438,3.4,4.6,0.751,3.7,5.5,9.3,2.4,0.6,0.3,5,15.1,,brownjo01
109,Bob Weiss,31,CHI,SG,79,11,1708,5.5,11.9,0.466,3,3.6,0.835,0.7,1.5,2.2,6.4,2.2,0.3,3.3,14.1,,weissbo01
110,Jim Barnett,29,GSW,SG,77,,1689,7.5,16.1,0.464,3.9,4.8,0.814,1.6,3.1,4.7,4.5,1.2,0.2,3.1,18.8,,barneji02
111,Bernie Fryer,24,POR,SG,80,,1674,4.9,10.6,0.46,2.3,2.9,0.793,1.3,2.1,3.4,6,2,0.2,4,12,,fryerbe01
112,Jim Cleamons,24,CLE,PG,81,,1642,5.2,11.9,0.433,2,2.9,0.699,1.4,3.7,5,5,1.3,0.4,3.3,12.4,,cleamji01
113,Clyde Lee,29,GSW,PF,54,,1642,2.8,6.2,0.454,1.4,2.3,0.579,4.1,9,13.1,1.5,0.6,0.4,3.9,7,MVP-17,leecl01
114,Jerry Lucas,33,NYK,C,73,14,1627,4.3,9.3,0.462,1.5,2.1,0.698,1.4,6.9,8.3,5.1,0.6,0.5,3,10.1,,lucasje01
115,Toby Kimball,31,PHI,PF,75,1,1592,4.9,10.3,0.474,2.9,4.2,0.686,4.2,8.3,12.5,1.7,1.1,0.5,4.5,12.6,,kimbato01
116,John Mengelt,24,DET,SG,77,,1555,5.8,12.9,0.446,4.2,5.3,0.795,0.9,3.8,4.8,3.4,1.6,0.2,3.8,15.7,,mengejo01
117,Dick Gibbs,25,SEA,SF,71,,1528,7.1,16.5,0.431,3.8,4.7,0.806,2.1,3.1,5.3,1.9,0.9,0.4,4.6,18,,gibbsdi01
118,Lloyd Neal,23,POR,PF,80,,1517,5.8,11.9,0.49,2.8,4,0.696,3.6,8.2,11.7,2.1,1.1,1.7,4.5,14.5,,nealll01
119,George Trapp,25,DET,PF,82,,1489,8.1,16.8,0.481,2.4,3.2,0.739,2.3,5.2,7.6,2,1.1,0.8,5.5,18.5,,trappge01
120,Steve Bracey,23,ATL,PG,75,,1463,5.9,12.8,0.463,1.7,2.4,0.719,0.6,3,3.6,5.7,1.5,0.1,3.9,13.6,,bracest01
121,Dwight Jones,21,ATL,PF,74,,1448,5.9,12.5,0.474,2.9,3.9,0.744,3.6,7.7,11.3,2.1,0.7,1.6,4.9,14.7,,jonesdw01
122,Slick Watts,22,SEA,PG,62,,1424,5,12.9,0.388,2.5,3.9,0.645,1.8,2.8,4.6,8.9,2.9,0.3,5.2,12.5,ROY-3,wattssl01
123,John Gianelli,23,NYK,C,70,41,1423,5.3,11,0.479,2.3,3.1,0.76,2.8,5.9,8.7,1.9,0.6,1.1,4,12.9,,gianejo01
124,Cornell Warner,25,2TM,C,72,,1405,4.5,8.9,0.499,2.2,2.9,0.746,2.7,7.5,10.2,1.8,0.7,1.1,5.2,11.1,,warneco01
125,Cornell Warner,25,CLE,C,5,,49,1.5,9.6,0.154,2.9,2.9,1,3.7,8.8,12.5,2.9,0,1.5,5.1,5.9,,warneco01
126,Cornell Warner,25,MIL,C,67,,1356,4.6,8.9,0.512,2.2,2.9,0.736,2.7,7.4,10.1,1.8,0.7,1.1,5.2,11.3,,warneco01
127,Pat Riley,28,LAL,SG,72,,1361,7.6,17.6,0.43,2.9,3.8,0.764,1,2.4,3.4,3.9,1.4,0.1,4.6,18.1,,rileypa01
128,Bob Kauffman,27,BUF,PF,74,,1304,4.7,10.1,0.467,3,4.1,0.713,2.7,6.3,9,3.9,1,0.5,4.3,12.4,,kauffbo01
129,George Johnson,25,GSW,C,66,,1291,4.8,10,0.483,1.6,3,0.551,5.3,9.3,14.6,2,1,3.5,4.9,11.3,,johnsge02
130,Tiny Archibald,25,KCO,PG,35,,1272,6.3,13.9,0.451,4.9,6,0.82,0.6,1.8,2.4,7.5,1.6,0.2,2.2,17.5,,architi01
131,Gary Melchionni,23,PHO,PG,69,,1251,5.8,12.6,0.46,2.6,3.1,0.86,1.3,2.8,4.1,4.1,1.2,0.3,2.4,14.3,,melchga01
132,Bob Christian,27,PHO,C,81,,1244,4.1,8.3,0.486,3.1,4.4,0.702,2.5,7.4,9.8,2.8,0.5,0.9,5.5,11.2,,chrisbo01
133,John Wetzel,29,ATL,SG,70,,1232,3.1,7.4,0.425,1.2,1.7,0.719,1.1,3.8,5,4,2.1,0.6,4.3,7.5,,wetzejo01
134,Howard Porter,25,CHI,SF,73,4,1229,8.7,19.3,0.45,2.7,3.4,0.8,2.5,5.8,8.3,0.9,0.7,1.1,3.4,20,,porteho01
135,Nick Weatherspoon,23,CAP,SF,65,,1216,5.9,14.3,0.412,2.8,4.1,0.691,3.9,7.8,11.8,1.1,1.4,0.5,5.3,14.6,,weathni01
136,Earl Monroe,29,NYK,SG,41,41,1194,7.2,15.5,0.468,2.8,3.4,0.823,0.7,3,3.6,3.3,1,0.6,2.9,17.3,,monroea01
137,Willie Norwood,26,DET,SF,74,,1178,7.5,14.8,0.51,2.9,4.4,0.664,2.9,4.1,7,1.8,1.8,0.3,4.8,18,,norwowi01
138,Paul Westphal,23,BOS,SG,82,,1165,7.4,14.7,0.501,3.5,4.7,0.732,1.5,2.9,4.4,5.3,1.2,1.1,5.3,18.2,,westppa01
139,Ron Williams,29,MIL,PG,71,,1130,6.1,12.5,0.489,1.9,2.2,0.882,0.6,1.6,2.2,4.9,1.6,0.1,3.6,14.1,,williro01
140,John Hummer,25,2TM,PF,53,0,1119,4.6,9.8,0.472,1.9,4,0.476,2.7,6.4,9.1,3.4,0.9,0.7,3.8,11.2,,hummejo01
141,John Hummer,25,CHI,PF,18,0,186,4.5,8.9,0.5,2.7,5.4,0.5,2.5,4.6,7.2,2.5,0.6,0.2,5.8,11.6,,hummejo01
142,John Hummer,25,SEA,PF,35,,933,4.7,10,0.467,1.7,3.7,0.469,2.7,6.8,9.5,3.6,1,0.8,3.4,11.1,,hummejo01
143,Lamar Green,26,PHO,PF,72,,1103,4.2,10.3,0.407,1.2,2.2,0.559,2.8,8.6,11.4,1.4,1,1.2,4.9,9.7,,greenla01
144,E.C. Coleman,23,HOU,PF,58,,1075,4.3,8.4,0.512,1.6,2.5,0.635,2.7,5.7,8.4,2.5,1.2,0.7,5.4,10.1,,colemec01
145,Dave Wohl,24,2TM,PG,67,,1055,4.1,9.5,0.437,2.6,3.5,0.735,0.4,1.2,1.6,8.1,2.6,0.1,4.6,10.8,,wohlda01
146,Dave Wohl,24,BUF,PG,41,,606,3.6,8.9,0.4,2.5,3.6,0.7,0.4,1.3,1.7,7.5,2,0.1,4.3,9.6,,wohlda01
147,Dave Wohl,24,HOU,PG,26,,449,4.9,10.2,0.48,2.6,3.4,0.786,0.3,1,1.4,8.7,3.4,0.1,5.1,12.4,,wohlda01
148,Charles Johnson,24,GSW,PG,59,,1051,6.6,16,0.415,1.3,1.9,0.691,1.7,4.3,6,3.5,2.1,0.2,3.8,14.6,,johnsch01
149,Bud Stallworth,24,SEA,SF,67,,1019,6.6,16.9,0.392,1.7,2.7,0.623,1.8,4.3,6.1,1.2,0.7,0.4,4.6,15,,stallbu01
150,Mickey Davis,23,MIL,SF,73,,1012,6,11.9,0.504,3.3,4,0.83,2.8,5.2,8,3.1,1,0.2,3.3,15.3,,davismi02
151,Mike D'Antoni,22,KCO,SG,52,,989,3.9,9.7,0.402,1.2,1.7,0.702,0.9,2.5,3.4,4.5,2.7,0.5,4.1,9,,dantomi01
152,Henry Bibby,24,NYK,PG,66,1,986,7.7,17,0.452,2.7,3.2,0.83,1.8,3.1,4.9,3.3,2.4,0.1,4.5,18,,bibbyhe01
153,Steve Kuberski,26,BOS,PF,78,,985,5.7,13.4,0.427,3.1,4.1,0.775,3.5,5.2,8.7,1.4,0.3,0.3,4.6,14.6,,kuberst01
154,Stu Lantz,27,DET,SG,50,,980,5.7,13.3,0.427,5.1,6,0.848,1.2,2.9,4.2,3.6,1.4,0.1,2.9,16.4,,lantzst01
155,Jerry West,35,LAL,PG,31,,967,8.6,19.3,0.447,6.1,7.4,0.833,1.1,3.2,4.3,7.7,3,0.9,3,23.4,AS,westje01
156,Jim Davis,32,DET,C,78,,947,4.4,10.8,0.413,3.4,5.3,0.647,3.9,7.3,11.1,3.3,1.5,1.1,6,12.3,,davisji01
157,Otto Moore,27,2TM,C,78,,946,4.6,9.1,0.5,1.5,2.4,0.629,3,7.8,10.8,2.5,1,1.9,3.8,10.6,,mooreot01
158,Otto Moore,27,HOU,C,13,,313,3.7,7.9,0.464,0.5,0.9,0.5,2.3,7.4,9.7,2.1,1.2,2.1,4.3,7.8,,mooreot01
159,Otto Moore,27,KCO,C,65,,633,5,9.7,0.515,2,3.1,0.648,3.4,8,11.4,2.7,0.9,1.8,3.5,12,,mooreot01
