Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
41,Nick Weatherspoon,28,SDC,SF,82,,2642,6.5,13.6,0.48,2.4,3.2,0.739,2.4,3.7,6.2,1.8,1.1,0.5,2.5,3.9,15.5,,weathni01
42,Paul Westphal,28,PHO,SG,81,,2641,10.9,20.4,0.535,4.6,5.5,0.837,0.5,1.7,2.2,7.2,1.5,0.4,3.2,2.2,26.5,ASNBA1,westppa01
43,Rudy Tomjanovich,30,HOU,PF,74,,2641,8.5,16.4,0.517,2.3,3,0.76,2.3,5.5,7.8,1.9,0.6,0.2,1.9,2.5,19.2,AS,tomjaru01
44,Bob Dandridge,31,WSB,SF,78,,2629,8.6,17.3,0.499,4.5,5.5,0.825,1.5,4.6,6.1,5,1,0.8,3,3.5,21.8,MVP-5ASNBA2,dandrbo01
45,Sam Lacey,30,KCK,C,82,,2627,4.8,9.6,0.502,2.3,3.1,0.739,2.5,7.2,9.6,5.9,1.5,1.9,3.4,4.2,11.9,,laceysa01
46,Charlie Scott,30,DEN,PG,79,,2617,5.4,11.7,0.46,2.2,3,0.749,0.7,2.1,2.9,5.9,1.1,0.4,3.5,3.9,13,,scottch01
47,Mickey Johnson,26,CHI,PF,82,74,2594,6.9,15.3,0.449,3.8,4.6,0.83,2.7,6,8.7,5.3,1.2,0.8,4.3,4,17.6,,johnsmi01
48,Brian Winters,26,MIL,SG,79,,2575,9.3,18.8,0.493,3.3,3.9,0.856,0.7,1.8,2.5,5.4,1.2,0.6,3.6,3.4,21.8,,wintebr01
49,Rick Barry,34,HOU,SF,80,,2566,6.5,14,0.461,2.2,2.4,0.947,0.6,3.3,3.9,7,1.3,0.5,2.8,2.7,15.2,,barryri01
50,Terry Tyler,22,DET,PF,82,,2560,6.4,13.3,0.482,2,3.1,0.658,3,6.1,9.1,1.3,1.5,2.8,2,3.6,14.9,,tylerte01
51,George McGinnis,28,DEN,PF,76,,2552,8.5,18,0.474,7.2,10.8,0.665,3.6,8.6,12.2,4,1.8,0.7,4.9,4.5,24.2,AS,mcginge01
52,James Edwards,23,IND,C,82,82,2546,7.6,15.1,0.501,4.2,6.2,0.676,2.5,7.3,9.8,1.3,0.8,1.5,2.3,5.1,19.3,,edwarja01
53,Don Buse,28,PHO,PG,82,82,2544,4,8.2,0.495,1,1.3,0.769,0.6,2.4,3.1,5,2.2,0.3,1.4,2.1,9.1,,busedo01
54,Dan Roundfield,25,ATL,PF,80,,2539,6.6,13,0.504,4.3,6,0.714,4.6,7.6,12.3,1.9,1.2,2.5,3,5.1,17.4,,roundda01
55,Henry Bibby,29,PHI,PG,82,38,2538,5.2,12.3,0.423,3.8,4.8,0.794,1,2.4,3.5,5.3,1,0.1,2.8,2.8,14.2,,bibbyhe01
56,Truck Robinson,27,2TM,PF,69,,2537,8,16.3,0.491,4.6,6.6,0.701,2.8,8.6,11.4,1.6,0.7,1.1,3.3,2.9,20.7,,robintr01
57,Truck Robinson,27,NOJ,PF,43,,1781,8,16.6,0.485,5,6.9,0.723,2.8,8.9,11.7,1.5,0.6,1.3,2.9,2.6,21,,robintr01
58,Truck Robinson,27,PHO,PF,26,,756,8,15.9,0.508,3.8,5.9,0.642,2.7,8,10.7,1.9,0.8,0.6,4.3,3.6,19.9,,robintr01
59,Mike Bantom,27,IND,PF,81,,2528,6.9,14.8,0.465,3.2,4.8,0.672,3.2,6.1,9.3,3.2,1.4,0.9,2.7,4.5,17,,bantomi01
60,Armond Hill,25,ATL,PG,82,82,2527,4.2,9.7,0.434,3.5,4.1,0.854,0.6,1.8,2.3,6.8,1.5,0.2,2.9,4.2,11.9,,hillar01
61,Dave Cowens,30,BOS,C,68,,2517,7,14.4,0.483,2.2,2.7,0.807,2.2,7.2,9.3,3.5,1.1,0.7,2.5,3.8,16.1,,cowenda01
62,John Long,22,DET,SG,82,,2498,8.4,17.9,0.469,2.3,2.7,0.826,1.8,2,3.8,1.7,1.5,0.3,2,3.2,19,,longjo01
63,Scott Wedman,26,KCK,SF,73,,2498,8.1,15.1,0.534,3.1,3.9,0.797,1.9,3.6,5.6,2.1,1.1,0.4,1.5,3.4,19.3,,wedmasc01
64,Wilbur Holland,27,CHI,SG,82,56,2483,6.5,13.6,0.473,2,2.6,0.801,1.1,2.6,3.7,4.8,1.8,0.2,2.7,3.5,14.9,,hollawi01
65,Maurice Lucas,26,POR,PF,69,,2462,8.3,17.7,0.47,3.9,5,0.783,2.8,7.7,10.5,3.1,1,1.2,3.4,3.7,20.6,AS,lucasma01
66,Ron Brewer,23,POR,SG,81,,2454,6.4,12.9,0.494,3.1,3.8,0.82,1.3,2.1,3.4,2.4,1.5,1.2,2.2,2.7,15.8,,brewero01
67,John Williamson,27,NJN,SG,74,,2451,9.3,20.1,0.465,5.5,6.4,0.854,0.8,2.1,2.9,3.7,1.3,0.2,3.4,3.2,24.1,,willijo01
68,Walter Davis,24,PHO,SF,79,,2437,11.3,20.1,0.561,5,6,0.831,1.6,3.9,5.5,5,2.2,0.4,4.3,3.7,27.6,MVP-10ASNBA2,daviswa03
69,Bob Wilkerson,24,DEN,SF,80,,2425,5.9,12.9,0.456,1.8,2.6,0.688,1.5,4.7,6.1,4.2,1.8,0.3,2.9,2.8,13.5,,wilkebo01
70,Eddie Johnson,23,ATL,SG,78,,2413,7.5,14.7,0.51,3.6,4.4,0.832,1,1.6,2.5,5.4,1.8,0.2,3.2,3.6,18.6,,johnsed02
71,Robert Parish,25,GSW,C,76,,2411,8.3,16.6,0.499,2.9,4.2,0.698,4,9.7,13.7,1.7,1.5,3.2,3.5,4.5,19.5,,parisro01
72,John Drew,24,ATL,SF,79,,2410,9.7,20.5,0.473,7.4,10.1,0.731,3.4,4.4,7.8,1.8,1.9,0.2,3.2,5,26.8,,drewjo01
73,Maurice Cheeks,22,PHI,PG,82,82,2409,4.4,8.5,0.51,1.5,2.1,0.721,0.9,2.9,3.8,6.4,2.6,0.2,2.9,3,10.2,,cheekma01
74,Wes Unseld,32,WSB,C,77,,2406,5.2,9,0.577,2.3,3.5,0.643,4.1,8.3,12.4,4.7,1.1,0.6,2.3,3.1,12.6,,unselwe01
75,Jim Cleamons,29,NYK,PG,79,71,2390,4.7,9.9,0.473,2,2.6,0.76,1,2.4,3.4,5.7,1.1,0.2,2.1,2.2,11.3,,cleamji01
76,John Johnson,31,SEA,SF,82,82,2386,5.4,12.4,0.434,2.9,3.8,0.76,1.9,4.3,6.2,5.4,0.9,0.4,3.8,3.7,13.6,,johnsjo01
77,Ray Williams,24,NYK,PG,81,53,2370,8.7,19.1,0.457,3.8,4.8,0.802,1.6,2.8,4.4,7.7,1.9,0.3,4.3,4.2,21.3,,willira01
78,Alvan Adams,24,PHO,C,77,,2364,8.7,16.3,0.53,3.5,4.4,0.799,3.4,7.4,10.7,5.5,1.7,1,4.2,3.7,20.8,,adamsal01
79,Spencer Haywood,29,2TM,PF,68,18,2361,9.1,18.4,0.494,3.5,4.5,0.791,2.6,5.5,8.1,1.9,0.6,1.3,3,3.6,21.7,,haywosp01
80,Spencer Haywood,29,NYK,PF,34,18,1023,8.8,17.9,0.489,3.8,5.1,0.733,2.3,4.9,7.2,2,0.4,1,3.1,3.8,21.3,,haywosp01
81,Spencer Haywood,29,NOJ,PF,34,,1338,9.3,18.7,0.497,3.3,3.9,0.849,2.9,5.9,8.8,1.9,0.8,1.4,3,3.4,22,,haywosp01
82,Jo Jo White,32,2TM,PG,76,,2338,6.2,14,0.444,2.1,2.4,0.88,0.6,2.4,3.1,5.3,1.2,0.1,3.3,2.7,14.6,,whitejo01
83,Jo Jo White,32,BOS,PG,47,,1455,6.3,14.7,0.428,2,2.2,0.888,0.5,2.6,3.2,5.3,1.3,0.1,3.5,2.5,14.6,,whitejo01
84,Jo Jo White,32,GSW,PG,29,,883,6.1,12.8,0.475,2.4,2.8,0.87,0.8,2.1,2.9,5.4,1.1,0.1,2.9,3,14.6,,whitejo01
85,Bobby Jones,27,PHI,PF,80,78,2304,5.9,11,0.537,3.3,4.3,0.755,3.1,5.2,8.3,3.1,1.7,1.5,2.6,3.8,15.1,,jonesbo01
86,Phil Smith,26,GSW,SG,59,,2288,7.7,15.4,0.501,3.1,4,0.761,0.8,2.6,3.3,4.1,1.6,0.4,2.7,2.5,18.4,,smithph01
87,Gus Williams,25,SEA,PG,76,,2266,9.6,19.4,0.495,3.9,5,0.775,1.8,2.1,3.9,4.9,2.5,0.5,3,2.6,23.1,,willigu01
88,Eddie Jordan,24,NJN,PG,82,,2260,6.4,15.3,0.418,3.4,4.4,0.777,1.2,2.2,3.4,5.8,3.2,0.6,3.9,3.3,16.2,,jordaed01
89,Robert Reid,23,HOU,SF,82,,2259,6.1,12.4,0.492,2.1,3,0.704,2.1,5.6,7.7,3.7,1.2,0.8,2.1,4.8,14.3,,reidro01
90,Bob McAdoo,27,2TM,C,60,32,2231,9.6,18.2,0.529,4.8,7.3,0.656,2.1,6.3,8.4,2.7,1.2,1.1,3.5,3,24,,mcadobo01
91,Bob McAdoo,27,NYK,PF,40,32,1594,9.7,17.9,0.541,4.9,7.6,0.651,2.1,6.4,8.6,2.9,1.4,1.1,3.5,3,24.3,,mcadobo01
92,Bob McAdoo,27,BOS,C,20,,637,9.4,18.9,0.5,4.4,6.5,0.67,2,5.9,8,2.3,0.7,1.1,3.6,3.1,23.2,,mcadobo01
93,Leon Douglas,24,DET,C,78,,2215,5.6,11.3,0.49,3.4,5.3,0.634,4,6.8,10.8,1.2,0.6,0.9,3.1,5.2,14.5,,douglle01
94,Steve Hawes,28,ATL,PF,81,,2205,6.1,12.3,0.492,1.8,2.2,0.818,3.1,6.5,9.6,3,1.3,0.8,2.4,4.3,13.9,,hawesst01
95,Tom Boswell,25,DEN,PF,79,,2201,5.3,9.9,0.532,3.2,4.6,0.697,4.1,4.7,8.8,4,0.8,0.8,3,4.3,13.7,,bosweto01
96,Bill Robinzine,26,KCK,PF,82,,2179,7.6,13.8,0.548,3,4.1,0.732,3.6,6.9,10.5,1.7,1.7,0.2,3,6.1,18.1,,robinbi01
97,James Silas,29,SAS,PG,79,,2171,7.7,15.3,0.505,5.5,6.7,0.831,0.6,2.5,3,4.5,1.3,0.3,3.3,3.6,21,,silasja01
98,Caldwell Jones,28,PHI,C,78,75,2171,5,10.6,0.474,2,2.7,0.747,2.9,9.5,12.4,2.5,0.6,2.6,2.6,5,12,,jonesca01
99,Lonnie Shelton,23,SEA,PF,76,,2158,7.4,14.3,0.519,2.2,3.2,0.693,3,4.8,7.8,1.8,1.3,1.3,3.1,4.4,17.1,,sheltlo01
100,Mychal Thompson,24,POR,C,73,,2144,7.7,15.8,0.49,2.6,4.5,0.572,3.3,6.8,10.1,3,1.1,2.3,3.4,4.5,18,,thompmy01
101,Kent Benson,24,MIL,C,82,,2132,7,13.5,0.518,3,4.1,0.735,3.2,6.7,9.9,3.4,1.5,1.4,2.6,4.7,17,,bensoke01
102,Gail Goodrich,35,NOJ,SG,74,,2130,6.5,14.4,0.449,2.9,3.4,0.853,1.1,1.9,3.1,6,1.5,0.2,3.1,3,15.9,,goodrga01
103,Billy Paultz,30,SAS,C,79,,2122,6.8,12.9,0.526,1.9,3.3,0.588,2.9,7.7,10.6,3,0.6,2.1,2.7,3.5,15.5,,paultbi01
104,Mike Gale,28,SAS,SG,82,,2121,4.8,10.4,0.464,1.5,1.8,0.843,0.7,2.5,3.2,6.3,2.6,0.7,2.6,3.3,11.2,,galemi01
105,Billy Knight,26,2TM,SF,79,,2095,7.6,14.3,0.528,4.3,5.1,0.841,1.6,4.3,6,2.6,1.1,0.1,3.9,2.7,19.4,,knighbi01
106,Billy Knight,26,BOS,SF,40,,1119,7,14,0.502,3.8,4.7,0.808,1.3,4.2,5.6,2.1,1,0.1,4.2,2.8,17.9,,knighbi01
107,Billy Knight,26,IND,SF,39,,976,8.2,14.7,0.556,4.8,5.5,0.873,2,4.5,6.4,3.2,1.2,0.2,3.5,2.7,21.2,,knighbi01
108,Tom Henderson,27,WSB,PG,70,,2081,5.2,11.1,0.466,2.7,3.4,0.8,0.9,1.9,2.8,7.2,1.5,0.2,2.6,2.1,13,,hendeto01
109,George Johnson,30,NJN,C,78,,2058,3.6,8.4,0.427,1.8,2.4,0.761,3.5,7.3,10.8,1.5,1.2,4.4,3.1,5.5,9,,johnsge02
110,John Gianelli,28,MIL,C,82,,2057,4.5,9.2,0.486,1.3,1.8,0.706,2.1,5,7.1,2.8,0.8,1,1.9,3.4,10.2,,gianejo01
111,Darryl Dawkins,22,PHI,C,78,12,2035,7.6,14.7,0.517,2.8,4.2,0.672,2.2,9,11.2,2.3,0.6,2.5,3.5,5.2,18,,dawkida01
112,Marvin Webster,26,NYK,C,60,55,2027,4.7,9.9,0.473,2.7,4.7,0.573,3.5,8.1,11.6,3.1,0.4,2,3,3.3,12,,webstma01
113,Sidney Wicks,29,SDC,PF,79,,2022,5.6,12,0.462,2.6,4,0.65,2.8,4.4,7.2,2.2,1.2,0.6,3.2,4.9,13.7,,wickssi01
114,Swen Nater,29,SDC,C,79,,2006,6.4,11.3,0.569,2.4,3,0.8,3.9,8.7,12.6,2.5,0.7,0.5,3.1,4.4,15.2,,natersw01
115,Jan van Breda Kolff,27,NJN,SF,80,,1998,3.5,7.6,0.463,2.6,3.3,0.798,1.9,4.9,6.9,3.2,1.5,1.3,2.4,4.2,9.7,,vanbrja01
116,Eric Money,23,2TM,PG,70,0,1979,8.1,16.2,0.497,3.1,4.3,0.717,1.3,1.7,2.9,6,1.6,0.2,4.3,3.7,19.2,,moneyer01
117,Eric Money,23,NJN,PG,47,,1434,8.2,17,0.481,3.4,4.6,0.743,1.4,1.8,3.1,6.3,1.9,0.3,4.2,3.3,19.7,,moneyer01
118,Eric Money,23,PHI,PG,23,0,545,7.9,14.3,0.548,2.2,3.6,0.63,1,1.5,2.4,5.4,0.9,0.1,4.6,4.6,18,,moneyer01
119,Lionel Hollins,25,POR,PG,64,,1967,7.4,16.2,0.454,3.1,4,0.778,0.6,2.1,2.7,5.9,2.1,0.4,4.1,3.6,17.9,,hollili01
120,Junior Bridgeman,25,MIL,SG,82,,1963,9.9,19.6,0.506,3.5,4.2,0.829,2.1,3.4,5.4,3,1.6,0.8,2.5,3.4,23.3,,bridgju01
121,Fred Brown,30,SEA,PG,77,,1961,8.2,17.5,0.469,3.4,3.8,0.888,0.7,2.5,3.2,4.8,2.2,0.4,3,2.6,19.7,,brownfr01
122,Mark Landsberger,23,CHI,PF,80,44,1959,5.1,10.8,0.475,1.7,3.6,0.469,5.4,8.3,13.6,1.2,0.5,0.4,2.7,2.3,11.9,,landsma01
123,Paul Silas,35,SEA,PF,82,,1957,3.1,7.4,0.423,2.1,3.6,0.598,4.8,5.8,10.6,2.1,0.6,0.3,1.8,3.3,8.4,,silaspa01
124,Clifford Ray,30,GSW,C,82,,1917,4.3,8.2,0.526,2,3.6,0.558,4,7.4,11.4,2.6,0.9,0.9,2.9,5,10.7,,raycl01
125,Tree Rollins,23,ATL,C,81,,1900,5.6,10.5,0.535,1.7,2.7,0.631,4.1,7,11.1,0.9,0.9,4.8,1.6,6.2,12.9,,rollitr01
126,Mark Olberding,22,SAS,PF,80,,1885,5,10.5,0.474,4.4,5.5,0.803,1.8,6.4,8.2,4,1,0.3,3.1,5.4,14.4,,olberma01
127,Kevin Grevey,25,WSB,SF,65,,1856,8.1,17.9,0.453,3.4,4.3,0.772,1.7,2.8,4.5,3,0.9,0.3,2.3,3.1,19.6,,greveke01
128,Bob Lanier,30,DET,C,53,,1835,9.6,18.6,0.515,5.4,7.2,0.749,3.2,6.5,9.7,2.7,1,1.5,3.4,3.6,24.6,AS,laniebo01
129,T.R. Dunn,23,POR,SG,80,,1828,4.8,10.8,0.448,2.4,3.1,0.772,2.9,3.9,6.8,2,1.7,0.5,1.8,3.3,12.1,,dunntr01
130,Mike Newlin,30,HOU,SG,76,,1828,5.6,11.4,0.487,4.2,4.8,0.872,1,2.3,3.3,5.7,1,0.2,3.4,4.3,15.3,,newlimi01
131,Pete Maravich,31,NOJ,SG,49,,1824,8.6,20.4,0.421,4.6,5.5,0.841,0.7,1.7,2.4,4.8,1.2,0.4,3.9,2.1,21.8,AS,maravpe01
132,Charles Johnson,29,WSB,SG,82,,1819,6.8,15.6,0.435,1.3,1.6,0.848,1.4,2.6,4,3.5,1.9,0.1,1.7,3.2,14.9,,johnsch01
133,Butch Lee,22,2TM,PG,82,,1779,5.9,12.8,0.457,3.5,4.7,0.761,0.7,1.9,2.5,6,1.7,0,3.1,3,15.3,,leebu01
134,Butch Lee,22,ATL,PG,49,,997,5.2,11.3,0.46,3.2,4.2,0.752,0.4,1.7,2.1,6.1,2,0,3.5,3.2,13.6,,leebu01
135,Butch Lee,22,CLE,PG,33,,782,6.7,14.8,0.455,4,5.2,0.77,1,2.1,3.1,5.8,1.4,0,2.7,2.7,17.4,,leebu01
136,Ernie Grunfeld,23,MIL,SF,82,,1778,6.6,13.4,0.493,3.9,5.1,0.761,2.5,4.8,7.3,4.4,1.2,0.3,2.9,4.5,17.1,,grunfer01
137,Adrian Dantley,23,LAL,SF,60,,1775,7.6,14.9,0.51,5.9,6.9,0.854,2.7,4.3,6.9,2.8,1.3,0.2,3.1,3.3,21.1,,dantlad01
138,Rick Robey,23,2TM,C,79,,1763,6.6,13.7,0.478,3.6,4.6,0.777,3.4,7,10.5,2.7,1,0.3,3.3,4.7,16.7,,robeyri01
139,Rick Robey,23,IND,C,43,,849,5.9,12.5,0.475,3.8,5.1,0.744,3.4,7.4,10.8,2.2,1.1,0.5,3.8,4.7,15.7,,robeyri01
140,Rick Robey,23,BOS,C,36,,914,7.2,14.9,0.481,3.3,4.1,0.816,3.5,6.7,10.2,3.1,0.9,0.1,3,4.8,17.6,,robeyri01
141,Quinn Buckner,24,MIL,PG,81,,1757,5.1,11.3,0.454,1.6,2.6,0.632,1.2,3.1,4.3,9.6,3.2,0.3,4.3,4.6,11.9,,bucknqu01
142,Foots Walker,27,CLE,PG,55,,1753,4.3,9.2,0.464,2.8,3.6,0.783,1.2,2.9,4.1,6.6,2.7,0.4,2.6,3.1,11.4,,walkefo01
143,Alvin Scott,23,PHO,SF,81,,1737,4.4,8.2,0.535,2.5,3.5,0.714,2.2,5.3,7.5,2.6,1.7,1.3,2.1,2.9,11.3,,scottal01
144,Ollie Johnson,29,CHI,SF,71,34,1734,5.8,11.2,0.52,1.8,2.3,0.8,1.2,3.5,4.7,3.4,1.1,0.7,2.4,3.8,13.5,,johnsol01
145,John Mengelt,29,CHI,SG,75,20,1705,7.1,14.5,0.491,3.2,3.8,0.824,0.5,2,2.5,3.9,1,0.1,2.5,3.1,17.4,,mengejo01
146,Purvis Short,21,GSW,PF,75,,1703,7.8,16.3,0.479,1.2,1.8,0.671,2.7,4.7,7.3,2.1,1.1,0.3,2.3,4.9,16.8,,shortpu01
147,Joe Meriweather,25,2TM,C,77,26,1693,5.1,10.6,0.484,2.7,4,0.674,3,5.7,8.7,1.7,0.9,2,2.8,6,13,,meriwjo01
148,Joe Meriweather,25,NOJ,C,36,,640,4.7,10.5,0.449,2.9,4.4,0.654,3.5,6.9,10.4,1.7,1,2.3,2.5,5.9,12.3,,meriwjo01
149,Joe Meriweather,25,NYK,C,41,26,1053,5.4,10.7,0.505,2.6,3.7,0.688,2.8,4.9,7.7,1.6,0.8,1.8,2.9,6.1,13.4,,meriwjo01
150,Lou Hudson,34,LAL,SG,78,,1686,7,13.6,0.517,2.3,2.6,0.887,1.4,1.6,3,3,1.2,0.4,2.1,2.8,16.4,,hudsolo01
151,Terry Furlow,24,2TM,SG,78,,1686,8.3,17.2,0.483,3.5,4.2,0.836,1.6,1.9,3.6,3.9,1.2,0.6,2.9,2.6,20,,furlote01
152,Terry Furlow,24,CLE,SG,49,,1110,8.9,18.5,0.483,3.3,4.1,0.824,1.4,1.7,3.1,3.3,1.3,0.6,2.8,2.6,21.2,,furlote01
153,Terry Furlow,24,ATL,SG,29,,576,7.1,14.7,0.481,3.7,4.4,0.857,2,2.4,4.4,5.1,1.1,0.8,2.9,2.6,17.9,,furlote01
