Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
541,Cedric Jackson,23,SAS,PG,3,0,25,2.9,10.1,0.286,0,2.9,0,2.9,7.2,0.4,0.286,4.3,5.8,0.75,1.4,4.3,5.8,8.6,4.3,2.9,2.9,2.9,10.1,,jacksce01
542,Cedric Jackson,23,WAS,PG,4,0,39,3.7,10.2,0.364,0.9,2.8,0.333,2.8,7.4,0.375,0.409,2.8,3.7,0.75,0.9,1.8,2.8,5.5,0,0,7.4,4.6,11.1,,jacksce01
543,Othyus Jeffers,24,UTA,SG,14,0,73,5.9,14.3,0.414,0,0,,5.9,14.3,0.414,0.414,6.4,9.4,0.684,3.9,5.4,9.4,0.5,2,0,3,4.9,18.2,,jeffeot01
544,Desmond Mason,32,SAC,SF,5,4,66,2.7,6.5,0.417,0,0,,2.7,6.5,0.417,0.417,1.6,2.2,0.75,2.2,4.9,7.1,1.1,0.5,0.5,2.2,2.7,7.1,,masonde01
545,Francisco Elson,33,2TM,C,12,0,66,2.7,8.2,0.333,0,0,,2.7,8.2,0.333,0.333,1.1,2.7,0.4,3.3,4.4,7.6,1.1,0.5,0,0.5,3.8,6.5,,elsonfr01
546,Francisco Elson,33,MIL,C,11,0,62,2.3,7.5,0.308,0,0,,2.3,7.5,0.308,0.308,1.2,1.2,1,2.9,4.6,7.5,1.2,0.6,0,0.6,4.1,5.8,,elsonfr01
547,Francisco Elson,33,PHI,C,1,0,4,9,18,0.5,0,0,,9,18,0.5,0.5,0,27,0,9,0,9,0,0,0,0,0,18,,elsonfr01
548,Eddy Curry,27,NYK,C,7,0,62,4.6,12.2,0.381,0,0,,4.6,12.2,0.381,0.381,5.8,9.9,0.588,2.3,5.2,7.5,0,0,0.6,7.5,7.5,15.1,,curryed01
549,Mike Wilks,30,OKC,PG,4,0,59,3.7,7.3,0.5,1.2,1.8,0.667,2.4,5.5,0.444,0.583,1.2,2.4,0.5,0.6,1.8,2.4,2.4,0,0,2.4,3.1,9.8,,wilksmi01
550,Kareem Rush,29,LAC,SG,7,0,58,2.5,6.8,0.364,0.6,1.9,0.333,1.9,5,0.375,0.409,0,0,,0.6,3.1,3.7,2.5,1.2,1.9,1.9,5,5.6,,rushka01
