Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
147,Jim Davis,26,STL,C,50,,394,5.6,12.7,0.439,2.3,5.8,0.391,11.2,1.2,7.8,13.4,,davisji01
148,Dennis Hamilton,23,LAL,PF,44,,378,5.1,10.3,0.5,1.2,1.2,1,6.9,2.9,4.4,11.5,,hamilde01
149,Bobby Lewis,22,SFW,SG,41,,342,6.2,15.9,0.391,6.4,8.3,0.772,5.9,4.3,4.2,18.8,,lewisbo01
150,Reggie Harding,25,CHI,C,14,,305,2.8,8.4,0.338,2,3.9,0.515,11.1,2.1,4.1,7.7,,hardire01
151,Dave Schellhase,23,CHI,PG,42,,301,5.6,16.5,0.341,2.4,4.5,0.526,5.6,4.4,5.1,13.6,,schelda01
152,Neil Johnson,24,NYK,PF,43,1,286,5.5,13.3,0.415,2.9,6,0.479,9.4,4.2,7.9,14,,johnsne02
153,Gary Gray,22,CIN,SG,44,,276,6.4,17.5,0.366,0.9,1.3,0.7,3,3.4,6.3,13.7,,grayga01
154,Nate Bowman,24,NYK,C,42,0,272,6.9,17.7,0.388,1.3,2,0.667,15,2.6,9.1,15.1,,bowmana01
155,Henry Akin,23,SEA,C,36,,259,6.4,19,0.336,2.8,4.3,0.645,7.9,1.9,6.7,15.6,,akinhe01
156,Dave Lattin,24,SFW,PF,44,,257,5.2,14.3,0.363,3.2,4.6,0.697,14.6,2,13.2,13.6,,lattida01
157,Jim Ware,23,SDR,PF,30,,228,3.9,15.3,0.258,3.6,5.4,0.676,12.2,1.1,4.4,11.5,,wareji01
158,Bud Acton,26,SDR,SF,23,,195,5.4,13.7,0.392,3.5,5.4,0.655,8.7,2,6.5,14.2,,actonbu01
159,Sonny Dove,22,DET,PF,28,,162,4.9,16.7,0.293,2.7,5.8,0.462,11.6,2.4,6,12.4,,doveso01
160,George Lee,31,SFW,,10,,106,2.7,11.9,0.229,5.8,8.2,0.708,9.2,1.4,5.4,11.2,,leege01
161,Tom Workman,23,2TM,,20,,95,7.2,15.2,0.475,6.8,8.7,0.783,9.5,1.1,6.4,21.2,,workmto01
162,Tom Workman,23,STL,,19,,85,8,16.1,0.5,7.2,9.3,0.773,10.2,1.3,5.9,23.3,,workmto01
163,Tom Workman,23,BAL,,1,,10,0,7.2,0,3.6,3.6,1,3.6,0,10.8,3.6,,workmto01
164,Cliff Anderson,23,LAL,SG,18,,94,2.7,11.1,0.241,4.6,10.7,0.429,4.2,6.5,6.9,10,,andercl01
165,Paul Long,23,DET,SG,16,,93,8.9,19.7,0.451,4.3,5.8,0.733,5.8,4.6,5,22.1,,longpa01
166,Tyrone Britt,23,SDR,SG,11,,84,5.6,14.6,0.382,0.9,1.3,0.667,6.4,5.1,4.3,12,,brittty01
167,Rick Weitzman,21,BOS,SG,25,,75,5.8,22.1,0.261,4.3,6.2,0.692,4.8,3.8,3.8,15.8,,weitzri01
168,Ron Filipek,23,PHI,,19,,73,8.9,23.2,0.383,3.5,6.9,0.5,12.3,3.5,5.9,21.2,,filipro01
169,Jay Miller,24,STL,SF,8,,52,5.5,21.5,0.258,2.8,4.8,0.571,4.8,0.7,7.6,13.8,,milleja01
170,Jim Reid,22,PHI,,6,,52,6.9,13.8,0.5,0.7,3.5,0.2,7.6,2.1,4.2,14.5,,reidji01
171,Craig Spitzer,22,CHI,C,10,,44,6.5,17.2,0.381,1.6,2.5,0.667,19.6,0,3.3,14.7,,spitzcr01
172,Ken Wilburn,23,CHI,SF,3,,26,6.9,12.5,0.556,1.4,5.5,0.25,13.8,2.8,5.5,15.2,,wilbuke01
173,Al Jackson,24,CIN,,2,,17,0,6.4,0,0,0,,0,2.1,12.7,0,,jacksal01
174,Roland West,23,BAL,,4,,14,5.1,12.9,0.4,0,0,,12.9,0,7.7,10.3,,westro01
175,Jim Burns,22,CHI,SG,3,,11,6.5,22.9,0.286,0,0,,6.5,3.3,3.3,13.1,,burnsji01
176,Jim Caldwell,25,NYK,C,2,0,7,0,5.1,0,0,0,,5.1,5.1,5.1,0,,caldwji01
177,George Carter,24,DET,SF,1,,5,7.2,14.4,0.5,7.2,7.2,1,0,7.2,0,21.6,,cartege01
