Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards,Player-additional
31,Bob Love,33,CHI,SF,76,65,2823,6.9,17.7,0.39,4.6,5.8,0.801,2.4,4.1,6.5,1.8,0.8,0.1,3,18.5,,lovebo01
32,Elmore Smith,26,MIL,C,78,,2809,6.4,12.3,0.518,2.8,4.5,0.632,2.6,8.9,11.4,1.2,1,3.1,3.4,15.6,,smithel01
33,Brian Winters,23,MIL,SG,78,,2795,8,17.2,0.464,2.3,2.8,0.829,0.9,2.4,3.2,4.7,1.6,0.3,3.1,18.2,AS,wintebr01
34,Phil Smith,23,GSW,SG,82,82,2793,8.5,17.8,0.477,4.2,5.3,0.788,1.7,3.1,4.8,4.7,1.4,0.2,2.9,21.2,MVP-7ASNBA2,smithph01
35,Slick Watts,24,SEA,PG,82,82,2776,5.6,13.2,0.427,2.6,4.5,0.578,1.5,3.3,4.7,8.6,3.4,0.2,3.5,13.8,,wattssl01
36,Gar Heard,27,2TM,PF,86,,2747,5.1,11.8,0.435,2.1,3.3,0.637,3.2,8.2,11.4,2.5,1.5,1.3,4,12.3,,heardga01
37,Gar Heard,27,BUF,PF,50,,1527,4.9,11.6,0.421,1.9,3.2,0.607,3.3,8.8,12,3,1.6,1.3,4.3,11.7,,heardga01
38,Gar Heard,27,PHO,PF,36,,1220,5.5,12.1,0.452,2.2,3.3,0.673,3.2,7.3,10.6,1.9,1.5,1.2,3.5,13.2,,heardga01
39,Jim Chones,26,CLE,C,82,82,2741,7.4,16.5,0.448,2.3,3.4,0.662,2.6,7.1,9.7,2.1,0.6,1.2,3.2,17,MVP-9,choneji01
40,Bob Dandridge,28,MIL,SF,73,,2735,8.6,17.1,0.502,3.6,4.3,0.824,2.3,4.9,7.1,2.7,1.5,0.5,3.5,20.7,MVP-24AS,dandrbo01
41,Jamaal Wilkes,22,GSW,SF,82,82,2716,8.2,17.7,0.463,3,3.9,0.772,2.6,7,9.5,2.2,1.4,0.4,2.9,19.4,MVP-17AS,wilkeja01
42,Bill Bradley,32,NYK,SF,82,82,2709,5.2,12,0.433,1.7,2,0.878,0.6,2.5,3.1,3.3,0.9,0.2,3.4,12.1,,bradlbi01
43,Paul Silas,32,BOS,PF,81,,2662,4.3,10,0.426,3.2,4.5,0.709,4.9,8.9,13.9,2.7,0.8,0.4,3.1,11.7,MVP-14,silaspa01
44,Alvan Adams,21,PHO,C,80,,2656,8.5,18.2,0.469,3.5,4.8,0.735,2.9,6.9,9.9,6.1,1.6,1.6,3.7,20.6,ROY-1AS,adamsal01
45,Tom Burleson,23,SEA,C,82,82,2647,6.7,14,0.481,4,5.3,0.75,3.5,6.6,10.1,2.4,1,2,3.7,17.4,,burleto01
46,Gail Goodrich,32,LAL,SG,75,,2646,7.9,18,0.441,4,4.7,0.847,1.3,1.6,2.9,5.7,1.7,0.2,3.2,19.9,,goodrga01
47,Jim McMillian,27,BUF,SF,74,,2610,6.8,12.7,0.536,2.6,3,0.858,1.8,3.5,5.4,2.8,1.2,0.2,1.9,16.2,,mcmilji01
48,John Havlicek,35,BOS,SF,76,,2598,7,15.5,0.45,3.9,4.6,0.844,1.6,2.7,4.4,3.9,1.3,0.4,2.8,17.9,MVP-24ASNBA2,havlijo01
49,Lou Hudson,31,ATL,SG,81,,2558,8,17,0.472,3.3,4.1,0.814,1.5,2.8,4.2,3,1.7,0.2,3.4,19.4,,hudsolo01
50,Geoff Petrie,27,POR,SG,72,,2557,7.6,16.6,0.461,3.9,4.7,0.829,0.5,1.8,2.4,4.6,1.2,0.1,2.7,19.2,,petrige01
51,Jim Price,26,MIL,PG,80,,2525,5.7,13.7,0.415,2,2.4,0.849,1.1,2.7,3.7,5.6,2.1,0.5,3.8,13.4,,priceji01
52,Fred Brown,27,SEA,SG,76,,2516,10.6,21.8,0.488,3.9,4.5,0.869,1.6,2.9,4.5,3,2,0.3,2.7,25.1,MVP-13AS,brownfr01
53,Cornell Warner,27,LAL,PF,81,,2512,3.6,7.5,0.479,1.3,1.8,0.695,3.2,7.2,10.3,1.5,0.8,0.7,4.1,8.5,,warneco01
54,Jimmy Walker,31,KCK,SG,73,,2490,6.6,13.7,0.483,3.3,3.9,0.865,0.7,1.9,2.6,2.5,1.3,0.2,2.7,16.6,,walkeji01
55,Bruce Seals,22,SEA,SF,81,,2435,5.7,13.1,0.436,2.7,3.9,0.678,2.3,5.2,7.5,1.8,0.9,0.7,4.6,14.1,,sealsbr01
56,Walt Frazier,30,NYK,PG,59,59,2427,7,14.4,0.485,2.8,3.4,0.823,1.2,4.8,5.9,5.2,1.6,0.1,2.4,16.7,MVP-17AS,fraziwa01
57,Otto Moore,29,NOJ,C,81,,2407,4.4,10.1,0.436,2.2,3.4,0.637,2.4,9.4,11.9,3.2,1.3,2,3.7,10.9,,mooreot01
58,Ed Ratleff,25,HOU,SF,72,,2401,4.7,9.7,0.485,2.5,3.1,0.816,1.6,4.1,5.7,3.9,1.7,0.6,3.5,11.9,,ratleed01
59,Mickey Johnson,23,CHI,PF,81,72,2390,7.2,15.6,0.463,4.3,5.4,0.786,4.2,7.2,11.4,2,1.4,1,4.4,18.7,,johnsmi01
60,Lucius Allen,28,LAL,PG,76,,2388,6.9,15.1,0.459,3,3.8,0.776,1,2.3,3.2,5.4,1.5,0.3,3.6,16.9,,allenlu01
61,Larry Steele,26,POR,SG,81,,2382,4.9,9.8,0.495,2.3,3.1,0.759,1.2,3.2,4.4,4.9,2.6,0.3,4.4,12.1,,steella01
62,Pete Maravich,28,NOJ,SG,62,,2373,9.2,20,0.459,6,7.4,0.811,0.7,3.9,4.6,5,1.3,0.3,3,24.3,MVP-15NBA1,maravpe01
63,Bob Lanier,27,DET,C,64,,2363,8.2,15.5,0.532,4.3,5.6,0.768,3.3,8.1,11.4,3.3,1.2,1.3,3.1,20.8,,laniebo01
64,Curtis Perry,27,PHO,PF,71,,2353,5.9,11.9,0.497,2.7,3.7,0.732,3,7.5,10.5,2.8,1.3,1,4.1,14.5,,perrycu01
65,John Drew,21,ATL,SF,77,,2351,9,17.9,0.502,7.5,10,0.744,4.4,5.7,10.1,2.3,2.1,0.5,4,25.4,MVP-20AS,drewjo01
66,Bingo Smith,29,CLE,SG,81,,2338,7.6,17.3,0.442,1.7,2.1,0.816,1.3,4,5.3,2.4,0.9,0.6,3.6,17,,smithbi02
67,Kevin Kunnert,24,HOU,C,80,,2335,7.2,14.7,0.487,1.6,2.4,0.654,4.1,8,12.1,2.4,0.9,1.6,4.9,15.9,,kunneke01
68,John Gianelli,25,NYK,C,82,51,2332,5,10.6,0.473,1.8,2.5,0.713,2.9,5.6,8.5,1.8,0.4,1,3,11.8,,gianejo01
69,Lloyd Neal,25,POR,PF,68,,2320,6.8,14,0.481,2.9,4.2,0.694,2.3,6.8,9.1,1.8,0.8,1.7,3.9,16.4,,nealll01
70,Dick Snyder,31,CLE,SG,82,82,2274,7,13.9,0.501,2.5,3,0.824,0.8,2.3,3.1,3.5,0.9,0.5,3.4,16.4,,snydedi01
71,Eric Money,20,DET,PG,80,,2267,7.1,15,0.474,2.3,2.9,0.806,1.2,2.1,3.3,5.4,2.2,0.2,3.9,16.6,,moneyer01
72,Ken Charles,24,BUF,SG,81,,2247,5.3,11.5,0.456,2.6,3.3,0.785,0.9,2.6,3.5,3.3,2,0.8,4.1,13.1,,charlke01
73,Chris Ford,27,DET,SG,82,,2198,4.9,11.6,0.426,1.4,1.9,0.722,1.3,3.5,4.8,4.5,2.9,0.4,3.6,11.2,,fordch01
74,Clifford Ray,27,GSW,C,82,82,2184,3.5,6.7,0.525,2.3,3.8,0.609,4.5,8.3,12.8,2.5,1.3,1.4,4.1,9.3,MVP-16,raycl01
75,Ollie Johnson,26,KCK,SF,81,,2150,5.8,11.4,0.513,2.1,2.5,0.839,1.9,4,6,2.4,1.1,0.7,3.6,13.7,,johnsol01
76,Leonard Gray,24,SEA,PF,66,,2139,6.6,14,0.474,2.1,2.8,0.746,1.8,4.9,6.7,3.4,1.3,0.6,4.4,15.4,,grayle01
77,Al Eberhard,23,DET,SF,81,,2066,4.9,11.9,0.414,3.3,4,0.834,2.4,4.4,6.8,1.4,1.5,0.3,4.4,13.2,,eberhal01
78,Truck Robinson,24,WSB,PF,82,,2055,6.2,13.6,0.454,3.7,5.5,0.672,2.4,7.3,9.8,2,0.7,1.9,4.2,16.1,MVP-24,robintr01
79,Tom Boerwinkle,30,CHI,C,74,60,2045,4.7,9.3,0.5,2.1,3.1,0.667,4.6,9.3,13.9,5,0.8,0.9,4.6,11.4,,boerwto01
80,Joe Meriweather,22,HOU,C,81,,2042,6,12.1,0.494,2.7,4.2,0.644,2.9,6.2,9.1,1.4,0.6,2.1,3.9,14.6,,meriwjo01
81,Louie Nelson,24,NOJ,SG,66,,2030,5.8,13.4,0.433,3,4.1,0.735,1.4,2.1,3.6,3,1.5,0.1,2.6,14.6,,nelsolo01
82,Tom Van Arsdale,32,ATL,SF,75,,2026,6.1,13.9,0.441,2.2,2.9,0.759,0.6,2.7,3.3,2.6,1,0.1,3.6,14.5,,vanarto01
83,John Shumate,23,2TM,PF,75,,1976,6,10.8,0.561,3.9,5.9,0.65,2.6,7.5,10.1,2.3,1.5,0.6,2.9,16,ROY-5,shumajo01
84,John Shumate,23,PHO,PF,43,,930,7.2,13.1,0.55,4.5,7.1,0.628,2.4,6.9,9.3,2.4,1.7,0.6,2.9,18.9,,shumajo01
85,John Shumate,23,BUF,PF,32,,1046,5,8.7,0.575,3.3,4.9,0.678,2.8,8,10.8,2.2,1.3,0.6,2.9,13.4,,shumajo01
86,Campy Russell,24,CLE,SF,82,,1961,8.9,18.4,0.482,4.9,6.3,0.773,2.5,3.9,6.3,2,1.3,0.2,4.2,22.6,,russeca02
87,Mike Riordan,30,WSB,SF,78,,1943,5.4,12.3,0.44,1.3,1.8,0.74,0.8,2.6,3.5,2.3,1,0.2,3.7,12.1,,riordmi01
88,Nate Williams,25,NOJ,SF,81,,1935,7.8,17.6,0.444,3.7,4.4,0.824,2.5,4.2,6.7,2,2,0.3,4.7,19.3,,willina01
89,Jack Marin,31,2TM,SF,79,13,1909,6.5,15.3,0.422,3,3.5,0.856,1.3,3.5,4.8,2.7,0.8,0.2,3.1,16,,marinja01
90,Jack Marin,31,BUF,SF,12,,278,5.3,12.2,0.436,3.5,4.3,0.818,1.3,3.9,5.2,3,0.9,0.8,3.9,14.1,,marinja01
91,Jack Marin,31,CHI,SF,67,13,1631,6.7,15.8,0.421,3,3.4,0.865,1.3,3.4,4.7,2.6,0.8,0.1,3,16.3,,marinja01
92,Connie Hawkins,33,ATL,PF,74,,1907,4.5,10,0.447,2.6,3.6,0.712,1.9,6.5,8.4,4,1.5,0.9,3.2,11.5,,hawkico01
93,Ricky Sobers,23,PHO,SG,78,,1898,5.3,11.8,0.449,3,3.6,0.823,1.5,3.4,4.9,4.1,2,0.1,4.8,13.6,,soberri01
94,Lionel Hollins,22,POR,PG,74,,1891,5.9,14,0.421,3.4,4.7,0.721,0.7,2.6,3.3,5.8,2.5,0.5,4.5,15.2,ROY-4,hollili01
95,Dick Van Arsdale,32,PHO,SG,58,,1870,5.3,11,0.484,3.8,4.5,0.83,0.8,1.9,2.6,2.7,1,0.2,2.2,14.4,,vanardi01
96,Keith Erickson,31,PHO,SF,74,,1850,5.9,12.6,0.47,2.6,3.1,0.854,2.1,4.4,6.5,3.6,1.5,0.1,3.8,14.5,,erickke01
97,E.C. Coleman,25,NOJ,PF,67,,1850,4.2,9.3,0.451,1.1,1.7,0.663,2.4,5.7,8.2,1.7,1.1,0.6,4.4,9.6,,colemec01
98,Don Ford,23,LAL,SF,76,,1838,6.1,13.9,0.438,2,2.7,0.748,2.3,4.2,6.5,2.2,1,0.3,3.6,14.2,,forddo01
99,Corky Calhoun,25,LAL,SF,76,,1816,3.4,7.3,0.467,1.3,1.6,0.783,2.3,4.4,6.8,1.7,1.2,0.7,4.3,8.1,,calhoco01
100,Henry Bibby,26,NOJ,PG,79,,1772,5.4,12.6,0.428,4.1,5.1,0.797,1.2,2.5,3.6,4.6,1.3,0.1,3.4,14.9,,bibbyhe01
101,Dwight Jones,23,ATL,C,66,,1762,5.1,11.1,0.463,3.3,4.5,0.744,3.5,7.2,10.7,1.7,1.1,1.2,4.4,13.6,,jonesdw01
102,John Brown,24,ATL,PF,75,,1758,4.4,10,0.442,3.3,4.3,0.775,3,5.3,8.3,2.6,0.9,0.3,4.8,12.1,,brownjo01
103,George Johnson,27,GSW,C,82,,1745,3.4,7,0.484,1.4,2.1,0.673,4.1,8.8,12.9,1.7,1.1,3.6,5.7,8.3,,johnsge02
104,Ron Behagen,25,NOJ,PF,66,,1733,6.4,14.4,0.446,3,3.7,0.804,3.9,7.5,11.5,2.9,1.4,0.5,4.6,15.8,,behagro01
105,Harvey Catchings,24,PHI,C,75,68,1731,2.1,5,0.426,1.2,2,0.604,4,6.8,10.8,1.3,0.4,3.4,5.4,5.5,,catchha01
106,Gus Williams,22,GSW,PG,77,,1728,7.6,17.8,0.428,3.6,4.9,0.742,1.3,2,3.3,5,2.9,0.5,3,18.8,ROY-2,willigu01
107,Butch Beard,28,2TM,PG,75,28,1704,4.8,10.5,0.46,3,4.1,0.75,2.2,4.4,6.5,4.6,1.7,0.2,4.6,12.7,,beardbu01
108,Butch Beard,28,CLE,PG,15,,255,4.9,12.7,0.389,3.8,5.2,0.73,2,4.1,6.1,6.4,1.4,0.3,5.1,13.7,,beardbu01
109,Butch Beard,28,NYK,PG,60,28,1449,4.8,10.1,0.475,2.9,3.9,0.755,2.2,4.4,6.6,4.3,1.8,0.1,4.5,12.5,,beardbu01
110,John Johnson,28,2TM,SF,76,,1697,6.7,14.8,0.453,2.5,3.3,0.774,2,5,7,4.6,1.2,0.8,4.1,16,,johnsjo01
111,John Johnson,28,POR,SF,9,,212,7,14.9,0.466,3.9,4.6,0.852,2.2,4.6,6.8,3.4,1.2,1.4,5.3,17.8,,johnsjo01
112,John Johnson,28,HOU,SF,67,,1485,6.7,14.8,0.452,2.4,3.1,0.758,2,5.1,7.1,4.8,1.2,0.7,4,15.7,,johnsjo01
113,Bill Walton,23,POR,C,51,,1687,7.4,15.6,0.471,2.8,4.9,0.583,2.8,11.7,14.5,4.7,1,1.7,3.1,17.6,MVP-24,waltobi01
114,Kevin Restani,24,MIL,PF,82,,1650,5.1,10.8,0.475,0.5,0.9,0.571,2.5,5.7,8.2,2.1,0.8,0.3,3.3,10.7,,restake01
115,Junior Bridgeman,22,MIL,SF,81,,1646,6.3,14.2,0.439,2.8,3.5,0.795,2.5,4,6.4,3.4,1.1,0.5,5.1,15.3,,bridgju01
116,Herm Gilliam,29,SEA,SG,81,,1644,6.5,14.8,0.442,2,2.5,0.776,1.2,3.6,4.8,4.4,1.8,0.3,3,15.1,,gillihe01
117,Cazzie Russell,31,LAL,SF,74,,1625,8.2,17.8,0.463,2.9,3.3,0.892,1.1,2.9,4.1,2.7,1.2,0.1,2.7,19.4,,russeca01
118,Larry McNeill,25,KCK,PF,82,,1613,6.6,13.6,0.484,4.6,6.1,0.758,3.5,7.9,11.4,1.6,1.1,0.7,5.4,17.8,,mcneila01
119,Mike Sojourner,22,ATL,C,67,,1602,5.6,11.8,0.473,1.8,2.7,0.672,2.8,7.3,10.1,1.3,0.9,0.9,3.9,12.9,,sojoumi01
120,Archie Clark,34,DET,SG,79,,1589,5.7,13.1,0.433,2.3,2.6,0.862,0.6,2.5,3.1,4.9,1.4,0.1,3.6,13.6,,clarkar01
121,Dave Meyers,22,MIL,PF,72,,1589,4.5,10.7,0.419,3.1,4.8,0.643,2.7,7.3,10.1,2.3,1.6,0.6,3.3,12,,meyerda01
122,Leon Benbow,25,CHI,SG,76,22,1586,5,12.5,0.397,2.4,3.2,0.75,1.5,2.5,4,3.6,1.4,0.2,4.2,12.3,,benbole01
123,Mike Bantom,24,2TM,SF,73,,1571,5,10.9,0.462,3.1,4.6,0.683,3.2,5.8,9,2.4,0.6,0.6,5.1,13.2,,bantomi01
124,Mike Bantom,24,PHO,SF,7,,68,4.2,13.8,0.308,2.6,2.6,1,3.7,8.5,12.2,1.6,1.1,1.1,6.9,11.1,,bantomi01
125,Mike Bantom,24,SEA,SF,66,,1503,5.1,10.8,0.471,3.1,4.6,0.675,3.2,5.6,8.8,2.4,0.6,0.6,5,13.3,,bantomi01
126,John Laskowski,22,CHI,SG,71,40,1570,6.5,15.8,0.412,2,2.8,0.725,1.2,3.8,5,1.3,1.3,0.2,2.1,15,,laskojo01
127,Charles Johnson,26,GSW,PG,81,,1549,7.9,17,0.467,1.4,1.8,0.759,1.8,2.9,4.7,2.8,2.3,0.2,4.1,17.3,,johnsch01
128,Howard Porter,27,DET,SF,75,,1482,7.2,15.4,0.469,1.8,2.4,0.753,2,5.2,7.2,0.6,0.8,0.9,3.2,16.3,,porteho01
129,Donnie Freeman,31,LAL,SG,64,,1480,6.4,14.7,0.434,4,4.8,0.819,1.8,2.6,4.4,4.2,1.4,0.3,3.9,16.8,,freemdo01
130,Bob Gross,22,POR,SF,76,,1474,5.1,9.8,0.523,2.4,3.5,0.683,3.4,4.1,7.5,4,2.2,1.1,4.5,12.6,,grossbo01
131,Gary Brokaw,22,MIL,SG,75,,1468,5.8,12.7,0.457,3.9,5.6,0.7,0.6,2.4,3.1,6,0.9,0.4,3.4,15.5,,brokaga01
132,Phil Jackson,30,NYK,PF,80,3,1461,4.6,9.5,0.478,2.7,3.7,0.733,2,6.5,8.5,2.6,1,0.5,6.8,11.8,,jacksph01
133,Charles Dudley,25,GSW,PG,82,,1456,4.5,8.5,0.528,3.9,6.1,0.641,2.8,3.9,6.7,5.9,1.9,0,4.2,12.9,,dudlech01
134,Clyde Lee,31,PHI,C,79,0,1421,3.1,7.1,0.436,1.6,2.4,0.663,4.2,7.3,11.5,1.5,0.6,0.7,4.8,7.8,,leecl01
135,Dean Meminger,27,ATL,SG,68,,1418,3.9,9.6,0.409,2.5,3.9,0.658,1.7,2.2,3.8,5.6,1.4,0.2,2.9,10.4,,meminde01
136,Steve Hawes,25,2TM,C,72,,1411,5.1,10.3,0.494,2.2,3.1,0.725,4.4,8.3,12.7,2.9,1.1,0.6,4.3,12.4,,hawesst01
137,Steve Hawes,25,HOU,C,6,,51,3.5,9.2,0.385,0,0,,3.5,9.2,12.7,7.1,0,0,4.2,7.1,,hawesst01
138,Steve Hawes,25,POR,C,66,,1360,5.1,10.3,0.497,2.3,3.2,0.725,4.4,8.3,12.7,2.8,1.2,0.7,4.3,12.6,,hawesst01
139,Nate Thurmond,34,2TM,C,78,0,1393,3.7,8.7,0.421,1.6,3.2,0.504,3,7.8,10.7,2.4,0.6,2.5,4.1,8.9,,thurmna01
140,Nate Thurmond,34,CHI,C,13,0,260,2.8,6.2,0.444,1.1,2.5,0.444,1.9,7.9,9.8,3.6,0.6,1.7,2.1,6.6,,thurmna01
141,Nate Thurmond,34,CLE,C,65,,1133,3.9,9.3,0.418,1.7,3.3,0.514,3.2,7.7,10.9,2.2,0.6,2.7,4.6,9.5,,thurmna01
142,Dennis Awtrey,27,PHO,C,74,,1376,3.7,8,0.467,2,2.9,0.688,2.4,5.2,7.7,4.2,0.5,0.6,4,9.4,,awtrede01
143,Ernie DiGregorio,25,BUF,PG,67,,1364,4.8,12.5,0.384,2.3,2.5,0.915,0.4,2.6,3,7,1,0,4.2,11.9,,digreer01
144,Aaron James,23,NOJ,SF,75,,1346,7,15.9,0.441,4.1,5.5,0.75,2.5,4.2,6.7,1.6,0.9,0.2,4.6,18.1,,jamesaa01
145,Rich Kelley,22,NOJ,C,75,,1346,4.9,10.1,0.485,4.3,5.5,0.776,5.2,9,14.1,4.1,1.4,1.6,5.6,14.1,,kelleri01
146,Neal Walk,27,NYK,C,82,30,1340,7,16.3,0.432,2.1,2.7,0.798,2.6,7.8,10.5,3.2,0.7,0.6,5.6,16.2,,walkne01
147,Bill Robinzine,23,KCK,PF,75,,1327,6.2,13.5,0.459,3.9,5.4,0.732,3.5,6.2,9.6,1.6,2.2,0.2,7.9,16.4,,robinbi01
148,Cliff Pondexter,21,CHI,PF,75,31,1326,4.2,10.3,0.411,3.3,4.9,0.67,3.1,7.3,10.3,2.4,0.8,0.7,3.6,11.8,,pondecl01
149,Austin Carr,27,CLE,SG,65,,1282,7.8,17.6,0.442,3,3.8,0.791,1.9,1.8,3.7,3.4,1,0.1,2.6,18.5,,carrau01
150,Foots Walker,24,CLE,PG,81,,1280,4,10.4,0.388,2.4,3,0.778,1.5,3.6,5.1,8.1,2.8,0.1,3.8,10.4,,walkefo01
151,Tal Skinner,23,SEA,SF,72,,1224,3.9,8.4,0.463,1.4,2.4,0.613,2.6,5.1,7.8,2,1.5,0.2,3.4,9.2,,skinnta01
152,Derrek Dickey,24,GSW,PF,79,,1207,6.6,14.1,0.465,1.8,2.4,0.785,3.4,7,10.4,2.5,0.8,0.3,4.2,15,,dickede01
153,Joe Bryant,21,PHI,PF,75,3,1203,7,16.5,0.422,2.8,4.4,0.626,2.9,5.4,8.3,1.8,1.3,0.7,4.9,16.7,,bryanjo01
154,Glenn Hansen,23,KCK,SG,66,,1145,5.4,13.2,0.412,2.7,3.7,0.726,2.4,3.5,5.9,2.1,1.5,0.4,4.5,13.6,,hansegl01
155,Nate Hawthorne,26,PHO,SG,79,,1144,5.7,13.3,0.43,3.6,5.3,0.676,2.7,3.9,6.6,1.4,1,0.5,4.6,15.1,,hawthna01
156,Jim McElroy,22,NOJ,PG,51,,1134,4.8,9.4,0.51,2.6,3.5,0.736,1.1,2.4,3.5,3.4,1.4,0.1,2.2,12.2,,mcelrji01
157,Jimmy Jones,31,WSB,PG,64,,1133,4.9,9.8,0.497,2.3,3,0.766,1,3.1,4.2,3.8,1,0.2,4,12,,jonesji01
158,World B. Free,22,PHI,SG,71,5,1121,7.7,17.1,0.448,3.6,6,0.602,2.1,2,4,3.3,1.2,0.2,3.4,18.9,ROY-3,freewo01
