Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
44,Jim Loscutoff,28,BOS,SF,66,1680,5.2,14.7,0.353,1.3,1.8,0.738,9.9,1.3,6.1,11.7,,loscuji01
45,Dave Piontek,24,CIN,PF,72,1674,6.6,17.5,0.375,3.4,4.9,0.687,8.3,2.7,3.5,16.5,,piontda01
46,Hot Rod Hundley,24,MNL,PG,71,1664,5.6,15.6,0.36,3.5,4.7,0.752,5.4,4.4,3,14.8,,hundlho01
47,Hal Greer,22,SYR,SG,68,1625,6.8,15,0.454,3,3.9,0.778,4.3,2.2,4.2,16.7,,greerha01
48,Jim Palmer,25,CIN,C,67,1624,5.7,14,0.404,3.9,5.5,0.724,10.5,1.4,4.7,15.3,,palmeji01
49,Clyde Lovellette,29,STL,C,70,1599,9.1,19.9,0.454,4.6,5.6,0.82,13.6,2,4.9,22.7,,lovelcl01
50,Slick Leonard,26,MNL,PG,58,1598,4.6,12.4,0.373,2.7,3.6,0.75,4,4.2,2.7,12,,leonasl01
51,Wayne Embry,21,CIN,C,66,1590,6.2,15.9,0.387,4.7,7.1,0.656,13.5,2.2,5.3,17,,embrywa01
52,Ray Felix,28,NYK,C,72,1588,5.9,15.9,0.371,5.2,7.3,0.713,12.9,1.1,6.2,17,,felixra01
53,Charlie Tyra,23,NYK,C,69,1586,5.4,13.8,0.396,2.9,4.3,0.679,11,0.7,4.1,13.8,,tyrach01
54,Jim Krebs,23,MNL,C,72,1578,6.2,15.5,0.399,2.1,2.8,0.748,11.2,1.1,4.8,14.5,,krebsji01
55,Guy Rodgers,23,PHW,PG,45,1565,4.9,12.3,0.394,1.4,2.6,0.545,6.5,6,3,11.1,,rodgegu01
56,Mike Farmer,22,NYK,SF,72,1545,4.1,11.6,0.353,1.9,2.3,0.838,7.3,1.5,3.5,10.1,,farmemi01
57,Bob Hopkins,24,SYR,PF,67,1518,5.8,14.5,0.403,4.2,5.5,0.752,10.3,1.6,4.3,15.8,,hopkibo01
58,Joe Holup,24,DET,SF,68,1502,5,13.9,0.36,3.6,4.8,0.76,8.4,1.7,5.7,13.7,,holupjo01
59,Sam Jones,25,BOS,SG,71,1466,7.5,17.3,0.434,3.7,4.8,0.77,10.5,2.5,2.5,18.7,,jonessa01
